"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000053892","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","1","0","0","1","0","","Van Wylen, David","{'fsnum': '8768', 'name': 'Van Wylen, David'}","200","","Academic Internship","294","","True","False","B","5","O","20055","Internship","Research","2005"
"0000052992","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one 3-hour laboratory per week. Prerequisite: Chemistry 125, or 121 and 123, and Mathematics 119, 120, or 122 or permission of instructor.","11","0","1","7","3","NSC;NSL","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reactions","126","{'day': 'Mo', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","Chemistry 125, or 121 and 123, and Mathematics 119, 120, or 122 or permission of instructor.","","5","O","20055","Energies and Rates of Chemical Reactions","Research","2005"
"0000052993","","0000000195","CHEM","","11","0","1","7","3","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reactions Lab","126","{'day': 'Mo', 'end': '16:00', 'location': 'SC 363', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 363', 'start': '13:00'}","False","","","5","O","20055","","Lab","2005"
"0000052994","1.0","0000000197","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. The first semester focuses on structure, nomenclature and reactions of aliphatic hydrocarbons, including aspects of stereochemistry and spectroscopic identification of these compounds. The second semester delves into the chemistry of functional groups, especially those that play a role in the reactivity biomolecules such as carbohydrates, lipids, proteins and nucleic acids. Prerequisite: Chemistry 126. Offered Spring Semester.","41","9","3","21","8","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","248","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","Chemistry 126. Offered Spring Semester.","","5","O","20055","","Research","2005"
"0000052995","0.25","0000000200","CHEM","These courses introduce students to the synthesis and characterization of organic, organometallic and inorganic compounds. Students purify the materials they produce by techniques such as chromatography and characterize them using infrared, nuclear magnetic resonance and mass spectroscopic methods. Students attend one 3-hour laboratory each week. Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Spring Semester.","20","6","0","12","2","","Watson, Anthony T.","{'fsnum': '16643', 'name': 'Watson, Anthony T.'}","200","","Synthesis Lab","254","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Spring Semester.","A","5","C","20055","Synthesis Laboratory","Lab","2005"
"0000052997","0.25","0000000200","CHEM","These courses introduce students to the synthesis and characterization of organic, organometallic and inorganic compounds. Students purify the materials they produce by techniques such as chromatography and characterize them using infrared, nuclear magnetic resonance and mass spectroscopic methods. Students attend one 3-hour laboratory each week. Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Spring Semester.","20","3","3","9","5","","Watson, Anthony T.","{'fsnum': '16643', 'name': 'Watson, Anthony T.'}","200","","Synthesis Lab","254","{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Spring Semester.","B","5","O","20055","Synthesis Laboratory","Lab","2005"
"0000053848","1.0","0000000375","DNCTH","","1","0","1","0","0","","Klopchin, Heather J.","{'fsnum': '10044', 'name': 'Klopchin, Heather J.'}","200","","IS/Investigating Dance","298","","False","","","5","O","20055","Independent Study","Research","2005"
"0000054272","1.0","0000000256","ECON","This course examines the major schools in the history of economic thought in their historical context: those that defend, condemn or amend capitalism.","7","0","0","1","6","HBS;HWC","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","100","","Capitalism: Struggles","113","","False","False","","5","O","20055","Capitalism: The Struggle of Economic Ideas in History","Research","2005"
"0000053988","1.0","0000000276","ECON","","0","0","0","0","0","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","200","","Academic Internship","294","","True","","","5","O","20055","","Research","2005"
"0000053991","1.0","0000000276","ECON","","1","0","1","0","0","","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","200","","Academic Internship","294","","True","","A","5","O","20055","","Research","2005"
"0000053992","0.5","0000000276","ECON","","0","0","0","0","0","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","200","","Academic Internship","294","","True","","B","5","O","20055","","Research","2005"
"0000053999","1.0","0000000276","ECON","","1","0","1","0","0","","Wojick, Paul","{'fsnum': '9114', 'name': 'Wojick, Paul'}","200","","Academic Internship","294","","True","","C","5","O","20055","","Research","2005"
"0000053439","1.0","0000000317","EDUC","","7","0","1","0","6","","McClure, Robert W.","{'fsnum': '16582', 'name': 'McClure, Robert W.'}","300","","Science Hlth Living","316","","False","","","5","O","20055","","Research","2005"
"0000053440","1.0","0000000318","EDUC","","7","0","1","0","6","","Forstner, Daniel R.","{'fsnum': '15723', 'name': 'Forstner, Daniel R.'}","300","","Math-Elem Classroom","317","","False","","","5","O","20055","","Research","2005"
"0000052998","1.0","0000000411","ENGL","Students encounter the literatures from former British colonies and from other countries of Africa, Asia and Latin America. Primary attention is given to literatures in English, but the readings may include some translations. The course examines diverse cultural expressions and the historical and cultural contexts of the works read, including the relationship between oral and written literature and between indigenous and foreign elements.","11","2","5","2","2","ALS-L;MCS-G","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","200","","Post-Colonial Lit","247","{'day': 'Mo', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'}","False","False","","5","O","20055","Post-Colonial Literatures","Research","2005"
"0000052999","1.0","0000000413","ENGL","From the intimate personal essay to more externally driven literary journalism, creative nonfiction covers a range of forms. Students learn to combine fictional techniques, personal recollections and direct exposition in assignments that might include memoir, personal essay, cultural criticism, nature writing, book and film reviewing and new journalism. Contemporary nonfiction writers such as Annie Dillard, Scott Russell Sanders, Judith Ortiz Cofer and John McPhee provide models and inspiration for writing in the course.","0","0","0","0","0","WRI","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","200","","Creative Wrtg: Non-Fic","251","{'day': 'Mo', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'}","False","False","","5","X","20055","Creative Nonfiction","Research","2005"
"0000053000","1.0","0000000429","ENGL","Explores various forms of prose, including fiction and creative nonfiction. Each instructor selects different material to be studied and emphasizes various aspects of the form. Topics can range from the 18th-century novel to African American autobiography. May be repeated if topics are different.","9","1","5","3","0","ALS-L;ORC;WRI","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","200","12","Top: Prose: Beach Reading","283","{'day': 'Mo', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'}","False","False","","5","O","20055","Studies in Prose","Topic","2005"
"0000053976","1.0","0000000433","ENGL","","1","0","1","0","0","","LeBlanc, Diane C.","{'fsnum': '13324', 'name': 'LeBlanc, Diane C.'}","200","","Academic Internship","294","","True","","","5","O","20055","Internship","Research","2005"
"0000053986","1.0","0000000434","ENGL","","1","0","0","0","1","","Wilson, Eliot K.","{'fsnum': '15823', 'name': 'Wilson, Eliot K.'}","200","","IS/Bukowski in Am Poetry","298","","False","","","5","O","20055","Independent Study","Research","2005"
"0000054860","1.0","0000000434","ENGL","","1","0","1","0","0","","Buckstead, Richard","{'fsnum': '821', 'name': 'Buckstead, Richard'}","200","","IS/Modern Indian Lit.","298","","False","","A","5","O","20055","Independent Study","Research","2005"
"0000053003","1.0","0000000438","ENGL","Students study individuals or groups of authors or themes such as the individual as cultural hybrid, the place of politics in literature, ethnocentrism and imperialism, the formation of literature from the clashes of culture or the relationship between non-traditional literary forms and traditional European aesthetics.","0","0","0","0","0","","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","300","","Top: Post Colonial Lit","347","{'day': 'Mo', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'}","False","False","","5","O","20055","Topics in Post-Colonial Literatures","Topic","2005"
"0000053004","1.0","0000000442","ENGL","Students explore advanced strategies in writing essays. Three areas of emphasis are explored through the semester: the personal essay, lyrical prose and creative journalism. Many class sessions take the form of workshops in which students critique their peers' work. Prerequisite: English 251, 255, 257 or writing equivalent.","0","0","0","0","0","","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","300","","Adv Non-Fiction Wrtg","373","{'day': 'Mo', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 515', 'start': '08:00'}","False","English 251, 255, 257 or writing equivalent.","","5","X","20055","Advanced Creative Nonfiction","Research","2005"
"0000053989","0.5","0000000449","ENGL","","1","0","1","0","0","","Hill, Jan C.","{'fsnum': '109', 'name': 'Hill, Jan C.'}","300","","Academic Internship","394","","True","","","5","O","20055","Internship","Research","2005"
"0000054580","0.5","0000000449","ENGL","","1","0","1","0","0","","Hill, Jan C.","{'fsnum': '109', 'name': 'Hill, Jan C.'}","300","","Academic Internship","394","","True","","A","5","O","20055","Internship","Research","2005"
"0000053740","1.0","0000000451","ENGL","","1","0","1","0","0","","Nelson, Jon Eric","{'fsnum': '5506', 'name': 'Nelson, Jon Eric'}","300","","IR/Joyce's Ulysses","398","","False","","","5","O","20055","Independent Research","Research","2005"
"0000053005","1.0","0000000456","ENVST","Population growth, industrialization and the consumption of fossil fuels have increased global environmental problems. The course examines the ways in which nation-states and/or international institutions have addressed these environmental concerns. Depending on the instructor, the focus of the course is either the environmental problems of a particular area (e.g., Latin America, Russia or Asia) or a broader global arena (e.g., international institutions and the environment). Counts toward major and concentration: Environmental Studies.","0","0","0","0","0","HBS","Lott, Anthony","{'fsnum': '15825', 'name': 'Lott, Anthony'}","200","","Global Env Politics","201","{'day': 'Mo', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'}","False","False","","5","X","20055","Topics in Global Environmental Politics","Research","2005"
"0000054035","0.5","0000000464","ENVST","","1","0","0","1","0","","Umbanhowar, Charles Jr.","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'}","200","","Academic Internship","294","","True","","","5","O","20055","Internship","Research","2005"
"0000054036","1.0","0000000464","ENVST","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Academic Internship","294","","True","","A","5","O","20055","Internship","Research","2005"
"0000053920","0.5","0000000653","FAMST","","1","0","0","1","0","","Powell, Sharon","{'fsnum': '17500', 'name': 'Powell, Sharon'}","200","","Academic Internship","294","","True","","","5","O","20055","Internship","Research","2005"
"0000054037","1.0","0000000653","FAMST","","1","0","0","1","0","","Muir, Gary M.","{'fsnum': '16584', 'name': 'Muir, Gary M.'}","200","","Academic Internship","294","","True","","A","5","O","20055","Internship","Research","2005"
"0000053987","1.0","0000000656","FAMST","","1","0","1","0","0","","Powell, Sharon","{'fsnum': '17500', 'name': 'Powell, Sharon'}","300","","Academic Internship","394","","True","","","5","O","20055","","Research","2005"
"0000053462","1.0","0000000505","GERM","Students continue to develop oral language skills through in-class and language lab activities with both audio and video tapes. Regular written assignments aid in the expansion of vocabulary and in the practical application of grammatical concepts. Communicating in German about familiar personal topics, students acquire vocabulary about sports, food, holidays, school, the environment, life in German cities, Austrian and Swiss culture and German reunification. Prerequisite: German 111 or placement by test. Offered Spring Semester.","1","0","0","0","1","","Hurlbutt, Jerrolyn","{'fsnum': '18361', 'name': 'Hurlbutt, Jerrolyn'}","100","","Beginning German II","112","{'day': 'Mo', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'TBA', 'start': '14:30'}","False","German 111 or placement by test. Offered Spring Semester.","","5","O","20055","","Research","2005"
"0000053463","1.0","0000000508","GERM","Students explore life in the German-speaking countries through reading and discussion of narrative texts. The course emphasizes vocabulary building, a thorough review of German grammar and the composition of short narratives to develop writing skills. Taught in German with some grammar explanations in English. Prerequisite: German 112 or placement by test. Offered Fall and Spring semesters.","0","0","0","0","0","","Hurlbutt, Jerrolyn","{'fsnum': '18361', 'name': 'Hurlbutt, Jerrolyn'}","200","","Intermed German I","231","{'day': 'Mo', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'TBA', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'TBA', 'start': '14:30'}","False","German 112 or placement by test. Offered Fall and Spring semesters.","","5","O","20055","Intermediate German I","Research","2005"
"0000053464","1.0","0000000509","GERM","Students continue to explore life in German-speaking countries, supported by cultural readings, films and other authentic materials that help students develop vocabulary and inspire them to advance their writing and speaking skills. Taught in German, the course includes a review of selected grammar topics. Prerequisite: German 231 or placement by test. GE: FOL-G. Offered Fall and Spring semesters.","2","0","0","1","1","FOL-G","Hurlbutt, Jerrolyn","{'fsnum': '18361', 'name': 'Hurlbutt, Jerrolyn'}","200","","Intermed German II","232","{'day': 'Mo', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TBA', 'start': '12:30'}","False","German 231 or placement by test. GE: FOL-G. Offered Fall and Spring semesters.","","5","O","20055","Intermediate German II","Research","2005"
"0000053465","1.0","0000000516","GERM","Explores expository texts such as (auto)biographical writings, journalistic articles and critical essays, with an eye to understanding the strategic organization of the text, the information presented and the relationship between the two. Analysis of structure, style, argumentation, evidence and perspective. Review of cases, tenses and word order. Regular group conversations with native speakers. Open to non-majors. Taught in German. Prerequisite: German 232 or equivalent. GE: FOL-G. Offered every Spring Semester.","0","0","0","0","0","FOL-G","Hurlbutt, Jerrolyn","{'fsnum': '18361', 'name': 'Hurlbutt, Jerrolyn'}","200","","Exploring Non-Fiction","252","{'day': 'Mo', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TBA', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TBA', 'start': '12:30'}","False","German 232 or equivalent. GE: FOL-G. Offered every Spring Semester.","","5","O","20055","","Research","2005"
"0000054269","1.0","0000000523","GERM","","1","0","1","0","0","","Achberger, Karen R.","{'fsnum': '50', 'name': 'Achberger, Karen R.'}","200","","IS/Trope of Travel","298","","False","","","5","O","20055","Independent Study","Research","2005"
"0000053939","1.0","0000000541","GREEK","Third-semester Greek students read selections from Plato's dialogues (Apology, Crito, Phaedo) in uncut, original versions, reviewing basic vocabulary, grammar and syntax while translating the Greek texts. The class discusses the life and death of Socrates and the significance of the dialogues as works of literature. Prerequisite: Greek 112 or equivalent. GE: FOL-K. Offered annually.","1","0","0","0","1","FOL-K","Brunelle, Christopher M.","{'fsnum': '14999', 'name': 'Brunelle, Christopher M.'}","200","1","Intermediate Greek","231","","False","Greek 112 or equivalent. GE: FOL-K. Offered annually.","","5","C","20055","","Research","2005"
"0000054011","1.0","0000000640","HIST","","1","0","1","0","0","","Hahn, Steve C.","{'fsnum': '13148', 'name': 'Hahn, Steve C.'}","300","","Academic Internship","394","","True","","","5","O","20055","Internship","Research","2005"
"0000053734","1.0","0000000642","HIST","","0","0","0","0","0","","Entenmann, Robert","{'fsnum': '1821', 'name': 'Entenmann, Robert'}","300","","IR/Mao's Revolution","398","","False","","","5","O","20055","Independent Research","Research","2005"
"0000054063","1.0","0000000692","IS","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/","398","","False","","","5","O","20055","","Research","2005"
"0000054064","1.0","0000000717","LATIN","","1","0","0","0","1","","Groton, Anne","{'fsnum': '2771', 'name': 'Groton, Anne'}","200","","IS/Roman Comedy","298","","False","","","5","O","20055","Independent Study","Research","2005"
"0000053006","1.0","0000000758","MATH","Properties of axiomatic systems are illustrated with finite geometries and applied in a synthetic examination of Euclid's original postulates, well-known Euclidean theorems and non-Euclidean geometries. Euclidean, similarity and affine transformations are studied analytically. These transformations are generalized to obtain results in projective geometry or used to generate fractals in an exploration of fractal geometry. Dynamic geometry software and hands-on labs are used to explore both the transformations and properties of these geometries. Prerequisite: Mathematics 220 and 244 or 252. Interim only.","2","0","0","0","2","","Smith, Kay E.","{'fsnum': '7593', 'name': 'Smith, Kay E.'}","300","","Geometry","356","{'day': 'Mo', 'end': '09:30', 'location': 'SC 184', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 184', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 184', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 184', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 184', 'start': '08:00'}","False","Mathematics 220 and 244 or 252. Interim only.","","5","C","20055","","Research","2005"
"0000053876","0.5","0000000795","MEDIA","","6","1","4","1","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","","Academic Internship","294","","True","","","5","O","20055","Internship","Research","2005"
"0000053885","1.0","0000000795","MEDIA","","2","1","1","0","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","","Academic Internship","294","","True","","A","5","O","20055","Internship","Research","2005"
"0000054012","1.0","0000000795","MEDIA","","1","0","1","0","0","","Hill, Jan C.","{'fsnum': '109', 'name': 'Hill, Jan C.'}","200","","Academic Internship","294","","True","","B","5","O","20055","Internship","Research","2005"
"0000053978","1.0","0000000784","MGMT","","2","0","1","1","0","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","200","","Academic Internship","294","","True","","","5","O","20055","Internship","Research","2005"
"0000054240","0.5","0000000784","MGMT","","1","0","1","0","0","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","200","","Academic Internship","294","","True","","A","5","O","20055","Internship","Research","2005"
"0000054265","1.0","0000000784","MGMT","","1","1","0","0","0","","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","","Academic Internship","294","","True","","B","5","O","20055","Internship","Research","2005"
"0000054626","1.0","0000000784","MGMT","","1","0","1","0","0","","Chutikamoltham, Siriwan","{'fsnum': '15806', 'name': 'Chutikamoltham, Siriwan'}","200","","Academic Internship","294","","True","","C","5","O","20055","Internship","Research","2005"
"0000053924","0.5","0000000846","MUSIC","","1","0","0","1","0","","Hagedorn, David","{'fsnum': '2878', 'name': 'Hagedorn, David'}","200","","Academic Internship","294","","True","","","5","O","20055","Internship","Research","2005"
"0000053919","0.5","0000000961","NURS","Does not count toward the major.","2","0","2","0","0","","Glazebrook, Rita","{'fsnum': '2650', 'name': 'Glazebrook, Rita'}","300","","Academic Internship","394","","True","False","","5","O","20055","Internship","Research","2005"
"0000053007","0.25","0000000997","PEAC","This course presents an introduction/review of beginning golf skills, rules and strategies. The course is not intended for the experienced golfer. Equipment available. Lab fee.","6","1","3","1","1","PHA","Finger, Le Ann K H.","{'fsnum': '13351', 'name': 'Finger, Le Ann K H.'}","100","","Golf","103","{'day': 'Mo', 'end': '09:00', 'location': '', 'start': '07:00'};{'day': 'We', 'end': '09:00', 'location': '', 'start': '07:00'};{'day': 'Fr', 'end': '09:00', 'location': '', 'start': '07:00'}","False","False","","5","O","20055","","Research","2005"
"0000053008","0.5","0000001012","PEAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training and aerobic activities. Students participate in a wide rang of eassessments designed to enhance physical fitness.","6","1","4","0","1","PHA","Ahrar, Shahram","{'fsnum': '17543', 'name': 'Ahrar, Shahram'}","100","","Individual Fitness.50","133","{'day': 'Mo', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Tu', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'We', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Th', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Fr', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'}","False","False","","5","O","20055","Individual Fitness","Research","2005"
"0000053009","0.5","0000001016","PEAC","Students learn the principles, techniques and safety aspects of weight-training and implement a personal training plan. Students participate in a wide range of assessments (strength, power, endurance, nutrition, flexibility, body composition, stress).","4","0","2","1","1","PHA","Ahrar, Shahram","{'fsnum': '17543', 'name': 'Ahrar, Shahram'}","100","","Wt Training Co-Ed .50","140","{'day': 'Mo', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'}","False","False","","5","O","20055","Weight Training","Research","2005"
"0000053918","1.0","0000001068","PETH","Research","1","0","0","0","1","","Book, Cindy","{'fsnum': '694', 'name': 'Book, Cindy'}","300","","IR/Fitness Specialist","398","","False","False","","5","O","20055","Independent Research","Research","2005"
