"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000163840","1.0","0000017674","BI/ES","Human health is affected by the biological environment, a teeming world of parasites and diseases, and the physical environment -- the water, air, and landscapes that we inhabit. Human interactions with the environment have changed rapidly, as human populations grow, travel increases, and ecosystems are altered. This course touches upon traditional environmental topics such as air and water quality and integrates newer public health challenges such as emerging diseases and food-borne illnesses. Offered periodically. Prerequisite: an introductory science course.","0","","IST","","Diane K. Angell","","S","200","24","Environmental Health","","228","{'day': 'Mo', 'end': '12:40', 'location': 'RNS 410', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 410', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 410', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 410', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 410', 'start': '10:40'}","False","an introductory science course.","","2","","","O","20252","","Research","2025"
"0000163845","1.0","0000020054","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","0","0/8","ALS-A;CRE","","Anda Tanaka","0/4","S","100","20","Foundation 2-D Media","This course has class-year limits.;The materials fee for ART 102 will be $135.","102","{'day': 'Mo', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'}","False","False","","2","0/4","0/4","O","20252","Foundation Two-Dimensional Media","Research","2025"
"0000163851","1.0","0000038378","BUS","This introductory course focuses on managerial decision making and problem solving. Students gain a foundation on which to build deeper understanding across the different business disciplines, including accounting and finance, marketing, and entrepreneurship. This course includes case studies and practical assignments to understand the key management skills, tools, and frameworks involved in starting, running, growing and adapting a successful business in the context of a rapidly changing technological, competitive, and consumer environment. Offered each semester.","0","","","","Kelsey Baumann","0/0","S","100","35","Fundamentals of Business","Open to first-year and sophomore students only.","110","{'day': 'Mo', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TBA', 'start': '08:00'}","False","False","","2","0/0","","O","20252","","Research","2025"
"0000163854","1.0","0000000758","MATH","Properties of axiomatic systems are illustrated with finite geometries and applied in a synthetic examination of Euclid's original postulates, well-known Euclidean theorems, and non-Euclidean geometries. Euclidean, similarity, and affine transformations are studied analytically. These transformations are generalized to obtain results in hyperbolic geometry and used to generate fractals in an exploration of fractal geometry. Dynamic geometry software and hands-on labs are used to explore both the transformations and properties of these geometries. Offered annually during January Term. Prerequisite: MATH 220, and MATH 244 or MATH 252.","0","0/0","WRI","","Ryota Matsuura","","S","300","18","Geometry","Not open to first-year students.;This course will provide a 1-hour lunch break each day.","356","{'day': 'Mo', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TOH 184', 'start': '13:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 184', 'start': '10:40'}","False","MATH 220, and MATH 244 or MATH 252.","","2","","","O","20252","","Research","2025"
"0000163863","1.0","0000000229","CLASS","With their tales of shape-shifting, vengeance, heroic quests, and tragic turns of fortune, the myths of the ancient Greeks and Romans have long inspired artists, poets, and philosophers. Even today, they continue to influence how human beings view the world and interact with one another. In this course students read thought-provoking stories about gods, heroes, and mortals, explore them in their original contexts, and investigate their connections with modern times and with students' own experiences. Offered annually.","0","","ALS-L;CRE","","Staff","","S","100","25","Greek & Roman Myth-Tr","","120","{'day': 'Mo', 'end': '12:40', 'location': 'TOH 210', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 210', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 210', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 210', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 210', 'start': '10:40'}","False","False","","2","","","O","20252","Greek and Roman Myth","Research","2025"
"0000163880","1.0","0000028767","KINES","This seminar integrates the liberal arts with the experience of work and the search for a vocation or career. Course content will include both an off-campus internship and on-campus class sessions that connect academic theories/analyses of work with their particular internship experience. Students will also consider and articulate the value of the liberal arts for their pursuit of a creative, productive, and satisfying professional life. Offered during January Term.","0","0/0","OEP","","Matt D. Neuger","","S","200","20","Healthcare Internship Seminar","Open to seniors and juniors only.;This course includes an academic civic engagement (ACE) component.","295","{'day': 'Fr', 'end': '16:00', 'location': 'SAC 112', 'start': '13:00'}","False","False","","2","","0/0","O","20252","Internship and Reflection Seminar","Research","2025"
"0000163881","1.0","0000029415","ID","This seminar integrates the liberal arts with the experience of work and the search for a vocation or career. Course content is composed of virtual class sessions that connect academic theories/analyses of work with each student's particular internship experience. Students also consider and articulate the value of the liberal arts for their pursuit of a creative, productive, and satisfying professional life. Offered annually during January Term. Prerequisite: Internship applications must be approved through the Piper Center before students will be allowed to enroll.","0","","OEP","","Elisabeth G. Alderks","","S","200","30","Internship and Reflection Seminar","","295","{'day': 'Tu', 'end': '20:30', 'location': 'VRTL Online', 'start': '19:00'};{'day': 'Th', 'end': '20:30', 'location': 'VRTL Online', 'start': '19:00'}","False","Internship applications must be approved through the Piper Center before students will be allowed to enroll.","","2","","","O","20252","","Research","2025"
"0000163883","1.0","0000001325","SPAN","Students continue learning Spanish in an intercultural context. The course continues to examine the Spanish-speaking world through exploration of topics, for example: cities and urban life; housing; and the historical roots of culinary traditions and food production. In-class speaking, listening, reading, and writing activities are complemented by attendance at two required culture tables. Offered each semester and January Term. Does not count toward Spanish major. Prerequisite: SPAN 111 or placement into SPAN 112.","0","0/15","","","Staff","","S","100","22","Intro Spanish Language/World II","Prerequisite: SPAN 111 or placement recommendation.","112","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 312', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TOH 312', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'TOH 312', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'TOH 312', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 312', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TOH 312', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 312', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 312', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 312', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 312', 'start': '10:40'}","False","SPAN 111 or placement into SPAN 112.","","2","","","O","20252","Introduction to Spanish Language and the Spanish-Speaking World II","Research","2025"
"0000163884","1.0","0000001294","SOAN","How do anthropologists study other cultures? Peoples around the world create different realities through the ways they conceptualize experience (cultures) and how they organize themselves to do what they need to do (societies). Anthropologists describe and compare cultures and societies, focusing on different aspects such as family and kinship, inequality and power, religion and values, economy and technology, cultural and social change. This course is open to first-year students or students in certain accredited programs. Offered each semester. Counts toward race and ethnic studies and gender and sexuality studies majors; and gender and sexuality studies concentrations.","0","","HBS;MCG;SCS","","Christopher L. Chiappari","0/0","S","100","25","Intro to Cultural Anthropology","Open only to first-year students.","128","{'day': 'Mo', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TBA', 'start': '13:00'}","False","False","","2","0/0","0/0","O","20252","Introduction to Cultural Anthropology","Research","2025"
"0000163885","1.0","0000021584","FMS","This course is an introduction to film analysis. Students learn the language used to describe and understand various features and aspects of the cinema. In addition to exploring the elements that make up a film, students also think carefully about the decisions, techniques, and strategies that inform film production. Topics of study include narrative, mise-en-scene, cinematography, editing, film sound, and, later in the course, broader categories of classification such as genre and mode.","0","","ALS-A;CRE","","Staff","","S","100","24","Intro to Film Studies","","101","{'day': 'Mo', 'end': '15:00', 'location': 'TOH 108', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TOH 108', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TOH 108', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TOH 108', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TOH 108', 'start': '13:00'}","False","False","","2","","","O","20252","Introduction to Film Studies","Research","2025"
"0000163886","1.0","0000001289","SOAN","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as ""Do we have a 'human nature'?,"" ""Why does social inequality exist?,"" ""What is race?,"" and ""How do societies change?"" In answering these questions students learn to develop a sociological imagination. In doing so they review the various research methods and theories that form the sociological tradition. This course is open to first-year students or students in certain accredited programs. Open to all students when taught during the summer. Offered each semester. Also counts toward race and ethnic studies and gender and sexuality studies majors and gender and sexuality studies concentration.","0","","HBS;MCD;PAR;SCS","","Marc David","0/0","S","100","22","Intro to Sociology","For Race Matters students only.;This course includes an academic civic engagement (ACE) component.","121","{'day': 'Mo', 'end': '15:00', 'location': 'HH 522', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'HH 522', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'HH 522', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'HH 522', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'HH 522', 'start': '13:00'}","False","False","","2","0/0","","O","20252","Introduction to Sociology","Research","2025"
"0000163887","1.0","0000000455","ENVST","This interdisciplinary course uses basic concepts of environmental science to explore global environmental issues. Topics are drawn from recent texts and current periodic literature, and participants will recognize many of the themes from coverage in the media. Because most environmental problems involve issues beyond the sciences, the class examines the economic, political, and ethical dimensions of environmental questions and environmental decision-making. Offered each semester. This course is equivalent to ENCON 111 and students can earn credit from only one of them.","0","","IST","","Staff","0/9","S","100","35","Intro: Env Studies","This course has junior and senior class-year limits.","137","{'day': 'Mo', 'end': '15:00', 'location': 'RNS 310', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'RNS 310', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'RNS 310', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'RNS 310', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'RNS 310', 'start': '13:00'}","False","False","","2","0/6","","O","20252","Introduction to Environmental Studies","Research","2025"
"0000163889","1.0","0000033313","PHYS","This course takes a holistic, process approach to design. Student teams identify human-centered needs, define problems, develop and prototype solutions, test, redesign, and present final recommendations. This hands-on course emphasizes the application of scientific principles, analysis, and design to real world problems. Students write throughout the course to develop and share ideas. In the January Term, students attend lectures and a daily laboratory. In the full semester offering, students attend lectures and one 2.5-hour laboratory per week. Offered annually. Prerequisites: MATH 119 or MATH 120 and at least one of the following: PHYS 130, PHYS 124, CHEM 121, CHEM 122, CHEM 125, CH/BI 125, BIO 150, PSYCH 125, CSCI 121, or permission of instructor.","0","","IST;SED;CRE;NTS","","Adam Svenkeson","","S","100","30","Introduction to Engineering Design","","160","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 210', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 210', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 210', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 210', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 210', 'start': '08:00'};{'day': 'Mo', 'end': '12:40', 'location': 'RNS 293', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 293', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 293', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 293', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 293', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'RNS 293', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'RNS 293', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'RNS 293', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'RNS 293', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'RNS 293', 'start': '13:00'}","False","Prerequisites: MATH 119 or MATH 120 and at least one of the following: PHYS 130, PHYS 124, CHEM 121, CHEM 122, CHEM 125, CH/BI 125, BIO 150, PSYCH 125, CSCI 121, or permission of instructor.","","2","","","O","20252","","Research","2025"
"0000163890","1.0","0000036004","PHS","This introductory course provides students a broad overview of public health focusing on concepts relating to health promotion, disease prevention and epidemiology. Additionally, students learn about the core public health values, functions, population health assessment and intervention and the socio-economic, behavioral, biological and environmental determinants of health. Students engage in oral and written communication to critically think and analyze public health issues. Offered alternate years during the spring semester.","0","","IST;NTS","","Kris R. Ehresmann","","S","100","30","Introduction to Public Health","This course includes an academic civic engagement (ACE) component.","150","{'day': 'Mo', 'end': '12:40', 'location': 'RNS 160E', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 160E', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 160E', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 160E', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 160E', 'start': '10:40'}","False","False","","2","","","O","20252","","Research","2025"
"0000164013","1.0","0000000080","ASIAN","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences, and communication styles. The course is taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation), and student presentations. Knowledge of Japanese helpful but not necessary. Readings, lectures, and discussions are all in English. Offered alternate years.","0","","HBS;MCG;GHS;SCS","","Rika Ito","","S","100","24","Language in Japanese Society","","126","{'day': 'Mo', 'end': '12:40', 'location': 'TOH 212', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TOH 212', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TOH 212', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TOH 212', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TOH 212', 'start': '10:40'}","False","False","","2","","","O","20252","","Research","2025"
"0000164014","1.0","0000041402","PHIL","This course surveys the philosophy of the Latin American world, considering both the writings of philosophers from Latin America as well as philosophical explorations of issues relevant to Latin America. Students explore how issues such as race, imperialism, political emancipation, and postcolonialism have been approached and understood in Latin American contexts. Prior coursework in philosophy or Latin American studies is recommended but not required. Offered periodically in January term.","0","","ERC;WAC","","Brendon Westler","","S","200","20","Latin American Philosophy","","242","{'day': 'Fr', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'Mo', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'TBA', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'TBA', 'start': '10:40'}","False","False","","2","","","O","20252","","Research","2025"
