"clbid","credits","crsid","department","description","enrolled","gereqs","groupid","grouptype","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000165977","1.0","0000022445","REL","This course offers an intensive study of African-American religious thought with particular emphasis on the 20th century. Structured thematically, the course covers: African religious roots; religious thought with particular emphasis on ideas of suffering, redemption, salvation, and liberation; the relation between Christianity and other religious traditions; and Afrocentrism and Black Nationalism as interpretive and critical lenses of African-American religious experience.","4","CTD;PAR","","","Timothy M. II. Rainey","A","200","24","African American Religious Thought","","267","","False","False","","5","O","20245","African-American Religious Thought in the 20th Century","Research","2024"
"0000166037","1.0","0000027950","MUSIC","This course explores the history and evolution of rock music from rhythm and blues through the present. In addition to covering stylistic trends and significant artists, emphasis is placed on the analysis of rock styles and on the social contexts in which rock music has been and continues to be performed and received. No formal training in music is necessary. Offered during summer. Does not count toward B.A. music major or any B.M. music major.","5","CRE","","","David R. Castro","A","100","24","Rock Music: Style/Context","","134","","False","False","","5","O","20245","Rock Music: Style and Context","Research","2024"
"0000166266","0.25","0000029415","ID","This seminar integrates the liberal arts with the experience of work and the search for a vocation or career. Course content is composed of virtual class sessions that connect academic theories/analyses of work with each student's particular internship experience. Students also consider and articulate the value of the liberal arts for their pursuit of a creative, productive, and satisfying professional life. Offered annually during January Term. Prerequisite: Internship applications must be approved through the Piper Center before students will be allowed to enroll.","46","OEP","","","Kelsey Baumann","S","200","999","Internship and Reflection Seminar","This course meets for 8 weeks and is online. Sign up for this course using the;form on Handshake.","295","","True","Internship applications must be approved through the Piper Center before students will be allowed to enroll.","","5","C","20245","","Research","2024"
"0000166283","-1.0","0000000942","NURS","Does not count toward the Nursing major. Students may choose a 1.00, 0.50, or 0.25 credit option","11","OEP","","","Susan Huehn","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166339","-1.0","0000000707","ID","","14","OEP","","","Timothy R. Howe","S","200","0","Academic Internship","","294","","True","False","H","5","C","20245","","Research","2024"
"0000166548","1.0","0000041657","ART","","1","OEP","","R","Nancy M. Thompson","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166558","-1.0","0000001057","KINES","","1","OEP","","","Charles J. Fountaine","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166578","-1.0","0000001178","PSYCH","","4","OEP","","","Kadie Ausherbauer","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166607","-1.0","0000000464","ENVST","","1","OEP","","","Charles Jr. Umbanhowar","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166657","-1.0","0000000985","PHIL","","1","OEP","","","Michael Fuerstein","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166764","-1.0","0000000093","ASIAN","","1","OEP","","","Katherine S. Tegtmeyer Pak","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166765","-1.0","0000000707","ID","","1","OEP","","","Katherine S. Tegtmeyer Pak","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166808","-1.0","0000001178","PSYCH","","1","OEP","","","Donna K. McMillan","S","200","0","Academic Internship","","294","","True","False","B","5","C","20245","","Research","2024"
"0000166853","-1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","OEP","","","Kevin M. Crisp","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000166877","-1.0","0000000985","PHIL","","2","OEP","","","Jason Marsh","S","200","0","Academic Internship","","294","","True","False","B","5","C","20245","","Research","2024"
"0000166942","-1.0","0000000374","DANCE","","1","OEP","","","Heather J. Klopchin","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","Internship","Research","2024"
"0000166944","1.0","0000020072","WRIT","Blending the reading seminar and writing workshop, this course offers advanced practice in critical reading and writing with emphasis on a particular discipline or topic. Students will read and respond critically to a range of writing that may include textbook chapters, popular feature stories, and creative literature. The course emphasizes how writers make and support claims, integrate research, and narrate to communicate effectively in a variety of genres for multiple audiences. Click on course title in the class and lab for more information about the course for that term. Prerequisite: successful completion of Writing and Rhetoric.","20","WAC","","","Daniel R. Forstner","S","200","21","Top: Science in World and Word","Only open to Upward Bound students.","211","","False","successful completion of Writing and Rhetoric.","","5","C","20245","Topics in Writing","Topic","2024"
"0000166945","-1.0","0000001139","PSCI","Internships are available in a wide variety of public and private institutions including the state legislature, lobbying agencies, law firms, media organizations, corporate public affairs, and executive agencies.","1","OEP","","","Douglas J. Casson","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000167036","-1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","OEP","","","Kim A. Kandl","S","200","0","Academic Internship","","294","","True","False","B","5","C","20245","","Research","2024"
"0000167159","-1.0","0000001178","PSYCH","","1","OEP","","","Piercarlo Valdesolo","S","200","0","Academic Internship","","294","","True","False","C","5","C","20245","","Research","2024"
"0000167160","-1.0","0000000707","ID","","1","OEP","","","Andrea C. Conger","S","200","0","Academic Internship","","294","","True","False","B","5","C","20245","","Research","2024"
"0000167241","-1.0","0000000846","MUSIC","","1","OEP","","","Justin W. Merritt","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000167246","-1.0","0000000433","ENGL","","1","OEP","","","Mary E. Trull","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000167332","-1.0","0000000642","HIST","","1","","","","Timothy R. Howe","S","300","0","IR/Excavation at Elaiussa Sebaste","","398","","False","False","A","5","C","20245","Independent Research","Research","2024"
"0000167707","-1.0","0000001178","PSYCH","","1","OEP","","","Carlo O. Veltri","S","200","0","Academic Internship","","294","","True","False","D","5","C","20245","","Research","2024"
"0000167897","1.0","0000027057","ID","This interdisciplinary, topics-based course explores contemporary issues in science with emphasis on developing students' understanding of scientific and quantitative approaches to problem solving. Specific topics, ranging from environmental chemistry and public health to biomechanics and genetics, vary from year to year. Students attend nine hours of lectures or small group discussion sections, two to three hours of quantitative workshops, and four hours of laboratory per week. The course is taught with WRIT 109. Offered annually during the summer. Does not count toward any major. Prerequisite: acceptance into the Summer Bridge Program.","40","NTS","","","Anne M. Gothmann;Eric L. Hazlett","S","100","40","Explorations in Science","For SSS Summer Bridge students only.","150","","False","acceptance into the Summer Bridge Program.","","5","C","20245","","Research","2024"
"0000167898","0.25","0000023391","WRIT","This course provides supplemental instruction in reading, writing, and critical thinking in conjunction with a designated course. Students practice reading course-specific texts, focusing writing topics, writing essay and short answer exams, developing research habits, identifying and using discipline-specific sources, and writing for general and specific audiences. Supplemental assignments complement writing in the designated course. P/N only. May be repeated once with a different designated course. Prerequisite: concurrent enrollment in a designated full-credit course.","40","","","","Bridget A. Draxler","S","100","40","Top: Supplemental Writing","For SSS Summer Bridge students only.","109","","True","concurrent enrollment in a designated full-credit course.","","5","C","20245","Topics: Supplemental Writing","Topic","2024"
"0000167905","-1.0","0000000625","HIST","","1","","","","Jaden Janak","S","200","0","IS/Prison Choirs in the Modern PIC","","298","","False","False","A","5","C","20245","Independent Study","Research","2024"
"0000168013","-1.0","0000000464","ENVST","","1","OEP","","","Jacob Grossman","S","200","0","Academic Internship","","294","","True","False","B","5","C","20245","","Research","2024"
"0000168209","-1.0","0000000433","ENGL","","1","OEP","","","Diane C. LeBlanc","S","200","0","Academic Internship","","294","","True","False","B","5","C","20245","","Research","2024"
"0000168246","-1.0","0000000276","ECON","","1","OEP","","","Naafey Sardar","S","200","0","Academic Internship","","294","","True","False","A","5","C","20245","","Research","2024"
"0000168720","0.0","0000037520","ID","This course transcripts a student's OLE Experience in Practice (OEP) when that OEP is done through CURI, Magnus, Steen or other academic non-credit-bearing experiences. As a zero-credit pass/no pass course, certification will be done by the respective director after completion of the individual experience.","1","OEP","","","Staff","S","300","999","OEP Zero-Credit Course","","300","","True","False","","5","O","20245","OLE Experience in Practice","Research","2024"

