"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000075908","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application. Internships do not count toward the biology major requirements.","1","0","1","0","0","","Porterfield, Jean C.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'}","200","","Academic Internship","294","","True","False","A","5","O","20095","Internship","Research","2009"
"0000075883","0.5","0000000174","BIO","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor, and complete an internship form.","1","0","1","0","0","","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","300","","Academic Internship","394","","True","False","","5","O","20095","Internship","Research","2009"
"0000075245","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one 3-hour laboratory per week. Prerequisite: Chemistry 125, or 121 and 123 and Mathematics 120 or 121 or permission of instructor. Offered annually in the Spring Semester.","12","5","2","3","2","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reactions","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Mo', 'end': '16:00', 'location': 'RNS 350', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 350', 'start': '13:00'}","False","Chemistry 125, or 121 and 123 and Mathematics 120 or 121 or permission of instructor. Offered annually in the Spring Semester.","","5","O","20095","Energies and Rates of Chemical Reactions","Research","2009"
"0000075806","","0000000195","CHEM","","12","5","2","3","2","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reactions Lab","126","","False","","","5","O","20095","","Lab","2009"
"0000075242","1.0","0000000197","CHEM","This course is a continuation of Chemistry 247 topics. Chemistry 248 delves into the chemistry of functional groups, especially those that play a role in the reactivity of biomolecules such as carbohydrates, lipids, proteins ,and nucleic acids. Together, Chemistry 247 and 248 provide a full treatment of introductory organic chemistry. Prerequisite: Chemistry 247 or permission of instructor. Offered annually in the Spring Semester.","34","8","6","14","6","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry II","248","{'day': 'Mo', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'}","False","Chemistry 247 or permission of instructor. Offered annually in the Spring Semester.","","5","O","20095","","Research","2009"
"0000075243","0.25","0000000200","CHEM","This course is a continuation of Chemistry 253. Students gain more experience with techniques used in Chemistry 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one 3-hour laboratory each week. P/N only. Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the Spring Semester.","14","3","3","6","2","","Gittins, Peter J.","{'fsnum': '21144', 'name': 'Gittins, Peter J.'}","200","20","Synthesis Lab II","254","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the Spring Semester.","A","5","O","20095","Synthesis Laboratory II","Lab","2009"
"0000075244","0.25","0000000200","CHEM","This course is a continuation of Chemistry 253. Students gain more experience with techniques used in Chemistry 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one 3-hour laboratory each week. P/N only. Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the Spring Semester.","17","4","2","7","4","","Gittins, Peter J.","{'fsnum': '21144', 'name': 'Gittins, Peter J.'}","200","20","Synthesis Lab II","254","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the Spring Semester.","B","5","O","20095","Synthesis Laboratory II","Lab","2009"
"0000075813","0.5","0000000204","CHEM","","1","0","1","0","0","","Walczak, Mary","{'fsnum': '8868', 'name': 'Walczak, Mary'}","200","","Academic Internship","294","","True","","","5","O","20095","Internship","Research","2009"
"0000076051","1.0","0000000223","CHEM","","1","0","0","1","0","","Gittins, Peter J.","{'fsnum': '21144', 'name': 'Gittins, Peter J.'}","300","","IR/Dendrimer Synthesis","398","","False","","","5","O","20095","Independent Research","Research","2009"
"0000075922","1.0","0000000299","CSCI","This is an intermediate-level version of Computer Science 394.","1","0","1","0","0","","Brown, Richard","{'fsnum': '806', 'name': 'Brown, Richard'}","200","","Academic Internship","294","","True","False","","5","O","20095","Internship","Research","2009"
"0000075810","0.5","0000000313","EDUC","","1","0","0","0","1","","Kelly, Maria L.","{'fsnum': '10032', 'name': 'Kelly, Maria L.'}","200","","Academic Internship","294","","True","","","5","O","20095","","Research","2009"
"0000075261","1.0","0000000406","ENGL","Would you like to revisit the pleasures of bedtime stories, your first chapter book, and the adventures of characters you've grown to love (or hate)? This course combines the fun of children's literature-focusing on twentieth-century classics from the US and England-with a different sort of fun, the intellectual gratification of critical reading. How do books from Winnie-the-Pooh to Harry Potter and the Sorcerer's Stone imagine their child readers? How do these books appeal to the dual audience of the children who enjoy them and the adults who purchase them? What relationships can we trace between the fantastic world of Alice's Adventures in Wonderland or The Hobbit and the historical and cultural realities of their authors readers? What to picture books and chapter books have to say about race, gener, socioeconomic class, education, ethics, and politics? By reading children's literature carefully and in context, we will develop a greater appreciation of this genre's range, artistic accomplishments, and cutlural significance.","14","0","4","7","3","ALS-L;WRI","Westerman, Molly","{'fsnum': '21109', 'name': 'Westerman, Molly'}","200","","Children's Literature","242","{'day': 'Mo', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'}","False","False","","5","O","20095","","Research","2009"
"0000075105","1.0","0000000413","ENGL","From the intimate personal essay to more externally driven literary journalism, creative nonfiction covers a range of forms. Students learn to combine fictional techniques, personal recollections, and direct exposition in assignments that might include memoir, personal essay, cultural criticism, nature writing, book and film reviewing, and ""new journalism."" Contemporary nonfiction writers such as Annie Dillard, Scott Russell Sanders, Judith Ortiz Cofer, and John McPhee provide models and inspiration for writing in the course. Prerequisite: FYW or its equivalent and sophomore status.","8","0","3","3","2","WRI","Longfellow, Stephen","{'fsnum': '19382', 'name': 'Longfellow, Stephen'}","200","","Creative Wrtg: Non-Fic","291","{'day': 'Mo', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'}","False","FYW or its equivalent and sophomore status.","","5","O","20095","Creative Nonfiction","Research","2009"
"0000075945","0.5","0000000433","ENGL","","1","0","1","0","0","","Dunning, Jenny","{'fsnum': '18290', 'name': 'Dunning, Jenny'}","200","","Academic Internship","294","","True","","","5","O","20095","Internship","Research","2009"
"0000076050","1.0","0000000434","ENGL","","1","0","1","0","0","WRI","Longfellow, Stephen","{'fsnum': '19382', 'name': 'Longfellow, Stephen'}","200","","IS/Image of Women","298","","False","","","5","O","20095","Independent Study","Research","2009"
"0000075845","1.0","0000000449","ENGL","","1","0","1","0","0","","Hill, Jan C.","{'fsnum': '109', 'name': 'Hill, Jan C.'}","300","","Academic Internship","394","","True","","","5","O","20095","Internship","Research","2009"
"0000075873","1.0","0000000464","ENVST","","1","1","0","0","0","","Jackson, Paul T.","{'fsnum': '3644', 'name': 'Jackson, Paul T.'}","200","","Academic Internship","294","","True","","","5","O","20095","Internship","Research","2009"
"0000075365","0.5","0000001012","ESAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","13","3","5","3","2","PHA;SPM","Goldsworthy, William Sean","{'fsnum': '2652', 'name': 'Goldsworthy, William Sean'}","100","","Individual Fitness.50","133","{'day': 'Mo', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'}","False","False","","5","O","20095","Individual Fitness","Research","2009"
"0000075364","0.5","0000001016","ESAC","Students learn the principles, techniques and safety aspects of weight-training and implement a personal training plan. Students participate in a wide range of assessments (strength, power, endurance, nutrition, flexibility, body composition, stress).","4","0","1","1","2","PHA;SPM","Ahrar, Shahram","{'fsnum': '17543', 'name': 'Ahrar, Shahram'}","100","","Wt Training Co-Ed .50","140","{'day': 'Mo', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Tu', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'We', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Th', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Fr', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'}","False","False","","5","O","20095","Weight Training","Research","2009"
"0000075846","0.5","0000001057","ESTH","","0","0","0","0","0","","Stromme, David A.","{'fsnum': '19528', 'name': 'Stromme, David A.'}","200","","Academic Internship","294","","True","","","5","O","20095","Internship","Research","2009"
"0000075809","0.5","0000001067","ESTH","","0","0","0","0","0","","Goldsworthy, William Sean","{'fsnum': '2652', 'name': 'Goldsworthy, William Sean'}","300","","Academic Internship","394","","True","","","5","O","20095","Internship","Research","2009"
"0000075915","1.0","0000001067","ESTH","","1","0","1","0","0","","Book, Cindy","{'fsnum': '694', 'name': 'Book, Cindy'}","300","","Academic Internship","394","","True","","A","5","O","20095","Internship","Research","2009"
"0000075300","1.0","0000000651","FAMST","This course explores the varied dimensions of human sexuality as they relate to, affect and are affected by past and present human relationships. Sexual problems and issues are examined for the development of a value framework and for the enrichment of family life. The course emphasizes critical thinking skills applied to current issues in human sexuality (e.g. gay marriage, gender issues, sexual violence). Students examine issues in contemporary research and ethics in sexuality. Offered each semester.","0","0","0","0","0","","Chandran, Devyani","{'fsnum': '21065', 'name': 'Chandran, Devyani'}","200","","Human Sexuality","253","{'day': 'Mo', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 420', 'start': '08:00'}","False","False","","5","X","20095","","Research","2009"
"0000075954","1.0","0000000624","HIST","","1","0","1","0","0","","Hahn, Steve C.","{'fsnum': '13148', 'name': 'Hahn, Steve C.'}","200","","Academic Internship","294","","True","","","5","O","20095","Internship","Research","2009"
"0000075841","1.0","0000000640","HIST","","1","0","1","0","0","","Hahn, Steve C.","{'fsnum': '13148', 'name': 'Hahn, Steve C.'}","300","","Academic Internship","394","","True","","","5","O","20095","Internship","Research","2009"
"0000075812","0.5","0000000707","ID","","1","0","0","0","1","","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","200","","Academic Internship","294","","True","","","5","O","20095","","Research","2009"
"0000075971","0.5","0000000707","ID","","3","0","3","0","0","","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","200","","Academic Internship","294","","True","","A","5","O","20095","","Research","2009"
"0000075972","0.5","0000000707","ID","","3","0","2","1","0","","Hofrenning, Dan","{'fsnum': '3418', 'name': 'Hofrenning, Dan'}","200","","Academic Internship","294","","True","","B","5","O","20095","","Research","2009"
"0000075992","0.5","0000000707","ID","","3","0","1","2","0","","Williamson, Thomas A.","{'fsnum': '14223', 'name': 'Williamson, Thomas A.'}","200","","Academic Internship","294","","True","","C","5","O","20095","","Research","2009"
"0000076036","1.0","0000000708","ID","","1","0","0","0","1","WRI","Bauer, Susan","{'fsnum': '338', 'name': 'Bauer, Susan'}","200","","IS/Art Form Relationships","298","","False","","","5","O","20095","Independent Study","Research","2009"
"0000076168","1.0","0000000708","ID","","1","0","0","1","0","WRI","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","200","","IS/Leadership/Discipline","298","","False","","A","5","O","20095","Independent Study","Research","2009"
"0000075926","0.5","0000000709","ID","","1","0","0","1","0","","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","300","","Academic Internship","394","","True","","","5","O","20095","","Research","2009"
"0000075917","0.5","0000000795","MEDIA","","1","0","1","0","0","","Brown, Richard","{'fsnum': '806', 'name': 'Brown, Richard'}","200","","Academic Internship","294","","True","","","5","O","20095","Internship","Research","2009"
"0000075950","0.5","0000000795","MEDIA","","1","0","0","0","1","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","","Academic Internship","294","","True","","A","5","O","20095","Internship","Research","2009"
"0000075927","1.0","0000000797","MEDIA","","1","0","1","0","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","300","","Academic Internship","394","","True","","","5","O","20095","Internship","Research","2009"
"0000075951","0.5","0000000784","MGMT","","1","0","1","0","0","","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","","Academic Internship","294","","True","","","5","O","20095","Internship","Research","2009"
"0000076174","1.0","0000000784","MGMT","","1","0","1","0","0","","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","","Academic Internship","294","","True","","A","5","O","20095","Internship","Research","2009"
"0000075872","1.0","0000000788","MGMT","","1","0","1","0","0","","Emery, Mary Ann","{'fsnum': '1746', 'name': 'Emery, Mary Ann'}","300","","Academic Internship","394","","True","","","5","O","20095","Internship","Research","2009"
"0000075909","1.0","0000000926","NORW","Students improve proficiency in listening, speaking, reading, and writing, with an emphasis on communication as well as improved grammatical accuracy. Reading and discussion of authentic literary and cultural texts allow students to expand their vocabulary and knowledge of the Norwegian way of life. Prerequisite: Norwegian 112 or equivalent. Offered annually in the Fall Semester.","1","0","1","0","0","FOL-N","Aarsvold, Nancy","{'fsnum': '19', 'name': 'Aarsvold, Nancy'}","200","1","Intermed Norwegian I","231","","False","Norwegian 112 or equivalent. Offered annually in the Fall Semester.","","5","C","20095","Intermediate Norwegian I","Research","2009"
"0000075874","0.5","0000000961","NURS","Does not count toward the major.","0","0","0","0","0","","Neal, Diana","{'fsnum': '5499', 'name': 'Neal, Diana'}","300","","Academic Internship","394","","True","False","","5","O","20095","Internship","Research","2009"
"0000075109","1.0","0000000979","PHIL","This course examines the main Western ethical theories and their application to contemporary moral concerns. Theoretical issues may include rights, duties, virtue, hedonism, egoism, the relation between ethics and theology, the fact-value distinction, relativism, and pluralism. Students discuss current topics such as global economic justice, euthanasia, the death penalty, animal rights, censorship, racism, privacy rights versus public safety, reproductive ethics, and environmental ethics. Prerequisite: completion of BTS-T. Offered annually.","14","0","8","6","0","EIN;WRI","Muñoz-Hutchinson, Danny","{'fsnum': '21884', 'name': 'Muñoz-Hutchinson, Danny'}","200","","Ethics/The Good Life","252","{'day': 'Mo', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'}","False","completion of BTS-T. Offered annually.","","5","O","20095","Ethics and the Good Life","Research","2009"
"0000075842","1.0","0000000986","PHIL","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/","298","","False","","","5","O","20095","Independent Study","Research","2009"
"0000075844","1.0","0000000993","PHIL","Prerequisite: one Level III course in philosophy.","1","0","1","0","0","","Marino, Gordon D.","{'fsnum': '5051', 'name': 'Marino, Gordon D.'}","300","","IR/Kierkegaard & Despair","398","","False","one Level III course in philosophy.","","5","O","20095","Independent Research","Research","2009"
"0000075946","1.0","0000001139","PSCI","Internships are available in a wide variety of public and private institutions including the state legislature, lobbying agencies, law firms, media organizations, corporate public affairs, and executive agencies.","1","0","1","0","0","","Lott, Anthony","{'fsnum': '15825', 'name': 'Lott, Anthony'}","200","","Academic Internship","294","","True","False","","5","O","20095","Internship","Research","2009"
"0000076052","1.0","0000001178","PSYCH","","1","0","0","1","0","","McMillan, Donna K.","{'fsnum': '5220', 'name': 'McMillan, Donna K.'}","200","","Academic Internship","294","","True","","","5","O","20095","","Research","2009"
"0000075838","1.0","0000001188","PSYCH","Internship","1","0","1","0","0","","McMillan, Donna K.","{'fsnum': '5220', 'name': 'McMillan, Donna K.'}","300","","Academic Internship","394","","True","False","","5","O","20095","","Research","2009"
"0000075477","1.0","0000019414","PSYCH","This course provides a comprehensive research opportunity, including an introduction to relevant background material, technical instruction, identification of a meaningful project, and data collection. The topic is determined by the faculty member in charge of the course and may relate to his/her research interests. Prerequisite: determined by individual instructor. Offered based on department decision.","3","0","2","0","1","","Cho, Grace E.","{'fsnum': '20130', 'name': 'Cho, Grace E.'}","300","","Research:Emotional Narrat","396","{'day': 'Mo', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': '', 'start': '12:30'}","False","determined by individual instructor. Offered based on department decision.","A","5","O","20095","Directed Undergraduate Research","Research","2009"
"0000075478","1.0","0000019414","PSYCH","This course provides a comprehensive research opportunity, including an introduction to relevant background material, technical instruction, identification of a meaningful project, and data collection. The topic is determined by the faculty member in charge of the course and may relate to his/her research interests. Prerequisite: determined by individual instructor. Offered based on department decision.","2","0","1","1","0","","Loebach, Jeremy","{'fsnum': '21097', 'name': 'Loebach, Jeremy'}","300","","Research:Auditory Cognit","396","{'day': 'Mo', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': '', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': '', 'start': '10:00'}","False","determined by individual instructor. Offered based on department decision.","B","5","O","20095","Directed Undergraduate Research","Research","2009"
"0000075114","1.0","0000001207","REL","Students read Pauline letters carefully for their major issues, such as apocalyptic, gospel, apostleship, Jew and Gentile, faith, Torah, community. Considering Paul in the context of his times and Paul in the context of later Christianity, students discuss topics such as Jews and Christians, men and women, creation, grace in Paul and present-day experience. Prerequisite: BTS-B","6","0","2","2","2","BTS-T;WRI","Hanson, James","{'fsnum': '3061', 'name': 'Hanson, James'}","200","","St. Paul/Letter/Gospel","223","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","BTS-B","","5","O","20095","Paul: His Letters, His Gospel","Research","2009"
"0000075115","1.0","0000001232","REL","This course examines the ethical teachings of Jesus as found in the canonical Gospels (with special focus on the Sermon on the Mount), explores how these teachings have been understood at some major moments in Western history, and brings them to bear on the task of contemporary ethical reflection. Issues examined include, for example, non-violence, social and economic justice, sexuality, and ethnic conflict. Prerequisites: completion of BTS-B and BTS-T.","12","0","7","4","1","EIN;WRI","Hanson, James","{'fsnum': '3061', 'name': 'Hanson, James'}","200","20","The Ethics of Jesus","276","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'}","False","Prerequisites: completion of BTS-B and BTS-T.","","5","O","20095","","Research","2009"
"0000075839","0.5","0000001236","REL","","1","0","1","0","0","","Schodt, David","{'fsnum': '7176', 'name': 'Schodt, David'}","200","","Academic Internship","294","","True","","","5","O","20095","","Research","2009"
"0000075884","1.0","0000001236","REL","","1","0","0","1","0","","Benjamin, Mara H.","{'fsnum': '20159', 'name': 'Benjamin, Mara H.'}","200","","Academic Internship","294","","True","","A","5","O","20095","","Research","2009"
"0000075902","0.5","0000001236","REL","","1","0","0","1","0","","Walter, Gregory A.","{'fsnum': '16642', 'name': 'Walter, Gregory A.'}","200","","Academic Internship","294","","True","","B","5","O","20095","","Research","2009"
"0000075924","0.5","0000001236","REL","","1","0","1","0","0","","Lagerquist, L. DeAne","{'fsnum': '4592', 'name': 'Lagerquist, L. DeAne'}","200","","Academic Internship","294","","True","","C","5","O","20095","","Research","2009"
"0000075947","0.5","0000001236","REL","","1","0","1","0","0","","Hanson, James","{'fsnum': '3061', 'name': 'Hanson, James'}","200","","Academic Internship","294","","True","","D","5","O","20095","","Research","2009"
"0000075948","0.5","0000001236","REL","","1","0","1","0","0","","Koenig, Jennifer","{'fsnum': '4458', 'name': 'Koenig, Jennifer'}","200","","Academic Internship","294","","True","","E","5","O","20095","","Research","2009"
"0000075949","0.5","0000001236","REL","","1","0","1","0","0","","Booth, David","{'fsnum': '712', 'name': 'Booth, David'}","200","","Academic Internship","294","","True","","F","5","O","20095","","Research","2009"
"0000075952","1.0","0000001257","REL","","1","0","0","0","1","","Odell, Margaret","{'fsnum': '5800', 'name': 'Odell, Margaret'}","300","","IR/Old Testament Prayer","398","","False","","","5","O","20095","Independent Research","Research","2009"
