"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000011687","0.5","0000000022","ART","This beginning studio course in sculpture introduces the basic aesthetic, conceptual and technical fundamentals of three-dimensional art-making and design. Students learn how to operate tools safely and efficiently, how to construct things with wood and other materials and how to describe and discuss sculpture and other objects and spaces. The course uses hands-on instruction, readings, slide talks, field trips and discussion. Lab fee.","13","","","","","Irve Dell","","S","100","16","Foundation Sculpture","114","{'day': 'Tu', 'end': '16:30', 'location': 'CAD 106', 'start': '15:05'};{'day': 'Th', 'end': '17:30', 'location': 'CAD 106', 'start': '16:05'}","False","False","B","3","","","C","20053","","Research","2005"
"0000011688","0.5","0000000023","ART","This course introduces students to black and white photography and to fundamental elements in visual art, as well as to the aesthetics and history of photography and the role of photography in modern culture. Students learn camera operation, black and white film processing, printing and print presentation. Students must provide their own 35 mm camera. With the exception of art majors, credit not allowed also for Physics 120. Lab fee.","19","","","","","Patrick T. Kelley","","S","100","20","Found Photography","115","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 102', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 102', 'start': '14:15'}","False","False","","3","","","C","20053","Foundation Photography","Research","2005"
"0000011689","0.5","0000000025","ART","This course provides the technical and conceptual foundations for use of digital media for artistic expression. The course will focus on the interaction of the conceptual and the technical through readings, lecture and assignments that address fundamental issues of digital arts: digital reproduction and representation, intermedia and interface. Students will acquire basic technical skills and apply them in the development of digital art projects that span four realms: raster graphics, vector graphics, 3D graphics and web page construction. This course will prepare students for advanced art courses in the curriculum: Motion Graphics, Computer-Based Imagery and Video Art Production.","14","","","","","David E. Ryan","","S","100","11","Found Digital Media","117","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 100', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 100', 'start': '12:45'}","False","False","","3","","","C","20053","Foundation Digital Media","Research","2005"
"0000011690","1.0","0000000032","ART","This introduction to art history surveys a European and American artistic tradition from the Renaissance to today. A chronological study of painting, sculpture, architecture, photography and other media teaches students about visual analysis, artistic excellence and the cultural and artistic heritages that have produced some of the finer art created from the Renaissance to the present.","48","","","","","Nancy M. Thompson;Matthew Rohn","","S","100","50","Intro/Art History II","151","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'}","False","False","","3","","","O","20053","Renaissance to the Present","Research","2005"
"0000011691","1.0","0000000034","ART","This course explores the fundamental principles of design, color and composition through the watercolor medium. Through advanced techniques, strong drawing and exploration of personal ideas, students develop a personal, expressive, visual language. Students are encouraged to move past trite and predictable solutions to seek alternatives, take initiative and celebrate creative risk-taking. Prerequisite: Art 111 and 112 (or 120), and 113 . Materials fee. Offered annually.","23","","","","","Wendell Arneson","","S","200","22","Watercolor Painting","222","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 116', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'CAD 116', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 116', 'start': '12:55'}","False","Art 111 and 112 (or 120), and 113 . Materials fee. Offered annually.","","3","","","C","20053","","Research","2005"
"0000011692","1.0","0000000036","ART","This sculpture course introduces students to metal froming, shaping, fastening and brazing and welding, uilding upon concepts from the foundationcourse and presenting the next level of sculpture topics, issues and concerns. Both majors and non-majors discover an artand industrial process that has great artistic and practical application The course makes the use of hands-on instruction, readings, slide talks and discussion. Lab fee. Prerequisite: Art 114 (Mandatory); Art 111, 112, 113, 116(recommended). Offered annually. Spring Semester only.","10","","","","","Irve Dell","","S","200","14","Sculpt: Metal Direct","224","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 105', 'start': '11:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 105', 'start': '12:45'}","False","Art 114 (Mandatory); Art 111, 112, 113, 116(recommended). Offered annually. Spring Semester only.","","3","","","O","20053","Sculpture/Direct Metal","Research","2005"
"0000011693","1.0","0000000038","ART","Emphasizing individual concepts, personal expression and strong composition, this course explores relief and lithography. Using large-scale, multicolor moveable block, collograph, wood or lino block techniques and lithography stones or aluminum plates in both black and white and color, students produce multiple images on one of the department's three presses. Students become familiar with the heritage of old masters as well as contemporary artists in printmaking. Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.","14","","","","","John Saurer","","S","200","16","Printmkg: Relief/Litho","226","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 212', 'start': '11:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 212', 'start': '12:45'}","False","Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.","","3","","","O","20053","Printmaking: Relief and Lithography","Research","2005"
"0000011694","1.0","0000000042","ART","This course explores the computer as a tool for creating visual images with movement and sound. Emphasizing concept development and creative expression, students investigate time-based software, including animation and video capture programs. The course introduces students to the work of traditional and computer animators. Prerequisites: Art 111 and 112 (or 120), or 115, or permission of the instructor. Lab fee. Offered annually.","11","","","","","Patrick T. Kelley","","S","200","15","Motion Graphics","230","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 100', 'start': '08:00'}","False","Prerequisites: Art 111 and 112 (or 120), or 115, or permission of the instructor. Lab fee. Offered annually.","","3","","","O","20053","","Research","2005"
"0000011695","1.0","0000000045","ART","This intermediate level course assumes the student has a substantial understanding of ceramic processes, plus a good awareness of his or her own interests in the realm of ceramic expression. The instructor helps students focus their efforts by proposing specific areas of investigation. Prerequisites: Art 116 or 119. Previous studio experience in ceramics is accepted when approved by the instructor. Lab fee. Offered annually.","21","","","","","Ron Gallas","","S","200","10","Ceramics","234","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 115', 'start': '11:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 115', 'start': '12:45'}","False","Prerequisites: Art 116 or 119. Previous studio experience in ceramics is accepted when approved by the instructor. Lab fee. Offered annually.","","3","","","C","20053","","Research","2005"
"0000011696","1.0","0000000049","ART","This course surveys the diverse arts produced by people of African descent in the Americas (U.S. and the Caribbean), from the colonial period to the present. An examination of selected West and Central African cultural practices and art forms serves as a basis for understanding creative transformations in the African Diaspora. Important issues to be addressed include art and resistance, survivals and transformations, and ideas about race and the construction of beauty.","28","","","","","Heather M. Brooks-Shirey","","S","200","30","Arts-African Diaspora","250","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 305', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 305', 'start': '12:45'}","False","False","","3","","","C","20053","The Arts of the African Diaspora","Research","2005"
"0000011697","1.0","0000000058","ART","This course introduces the history of Japanese art, offering a survey of major artistic developments from neolithic times to the present. Among the topics to be considered: funerary remains of the neolithic through Kofun eras; indigenous as well as imported religious traditions and their imagery; and the secular arts. Issues to be discussed include production and patronage, function, and borrowing and influence in the evolution of artistic works.","31","","","","","Karil J. Kucera","","S","200","30","Arts of Japan","260","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 305', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 305', 'start': '14:15'}","False","False","","3","","","C","20053","The Arts of Japan","Research","2005"
"0000011698","1.0","0000000059","ART","This course examines architectural monuments and their symbolic forms combined with evidence of earthly and divine concepts. From cave dwellings to geodesic domes, from Eastern to Western systems, students review sacred and profane structures from a variety of cultures. Each student investigates a living reality of space, function, and form found in human-built environments.","27","","","","","Matthew Rohn","","S","200","30","World Architecture","261","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'}","False","False","","3","","","C","20053","History of World Architecture","Research","2005"
"0000011699","1.0","0000000068","ART","","1","","","","","Steven Edwins","","S","200","999","Academic Internship","294","","True","False","","3","","","O","20053","","Research","2005"
"0000011700","1.0","0000000069","ART","","3","","","","","Wendell Arneson","","S","200","999","IS/Advanced Painting","298","","False","False","A","3","","","O","20053","","Research","2005"
"0000011701","1.0","0000000071","ART","This capstone course in the studio arts program consists of advanced studio work, a visiting artist series, weekly critiques, and discussions with faculty and peers. Each student's independent work with a faculty adviser culminates in a senior exhibition at Flaten Art Museum. Weekly sessions also cover such topics as preparing a resume, taking slides of one's work, framing and producing exhibition announcements and posters.","53","","","","","Margaret Ojala","","S","300","50","Sr Studies/Studio Art","343","{'day': 'Mo', 'end': '22:00', 'location': 'CAD 305', 'start': '19:00'}","False","False","","3","","","C","20053","Senior Studies in Studio Art","Research","2005"
"0000011702","1.0","0000000072","ART","This seminar explores methods by which art historians and curators analyze works of art. Students develop an advanced understanding of these methods by application of various methods to works of art, by examining historical factors surrounding principle movements in the study of art history and by engaging in lively class debates about them. Readings, discussions and presentations culminate in an independent research project that allows each student to find his or her own place in the discipline. Prerequisite: two upper division courses in art history. GE: ORC.","14","","","","","Nancy M. Thompson","","S","300","15","Methods of Art Hist","350","{'day': 'Th', 'end': '22:00', 'location': 'CAD 204', 'start': '19:00'}","False","two upper division courses in art history. GE: ORC.","","3","","","C","20053","The Methods of Art History","Research","2005"
"0000011703","1.0","0000000073","ART","","0","","","","","Staff","","S","300","999","Academic Internship","394","","True","False","","3","","","O","20053","","Research","2005"
"0000011704","1.0","0000000075","ART","Prerequisites: three courses in area of study.","0","","","","","Staff","","S","300","999","IR/","398","","False","Prerequisites: three courses in area of study.","","3","","","O","20053","Independent Research: Art History","Research","2005"
"0000011705","1.0","0000000077","ASIAN","This is a history seminar to help students understand the impact that the West and East Asia have had on each other from the beginning of sustained contact in the 16th century to the end of World War II. Students read about and discuss the impact of Christian missionaries, the economic role of trade and the political and military challenge of Western expansionism beginning with the Opium War. Prerequisite: Asian Studies 111 or permission of the instructor.","19","","","","","Robert Entenmann","","S","100","19","East Asia & the West","112","{'day': 'Tu', 'end': '13:10', 'location': 'HH 515', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'HH 515', 'start': '12:45'}","False","Asian Studies 111 or permission of the instructor.","","3","","","C","20053","Asian Conversations: East Asia and the West","Research","2005"
"0000011706","1.0","0000000078","ASIAN","This course examines major cultures of South, Southeast and East Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year but may include Asian cities, heroic ideals, village and family life, population growth, gender roles and medicine and healing traditions. No prerequisites.","37","","","","","Barbara Reed","","S","100","35","Asian Cultures","121","{'day': 'Mo', 'end': '13:50', 'location': 'BMC 111', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'BMC 111', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'BMC 111', 'start': '12:55'}","False","False","","3","","","O","20053","Asian Cultures in Comparative Perspectives","Research","2005"
"0000011707","1.0","0000000091","ASIAN","This course highlights major visual arts movements within China over the last century, from the end of the imperial era to current times. We look at a variety of issues: class and gender; China in the world art market; Chinese art past and present; and a variety of ""isms"" now seen as defining Chinese art. A major theme is to define visual culture in all its nuances.","23","","","","","Karil J. Kucera","","S","200","25","Vis Cult/Modern China","270","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 204', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 204', 'start': '12:45'}","False","False","","3","","","C","20053","Visual Culture of Modern China","Research","2005"
"0000011708","0.25","0000000092","ASIAN","","13","","","","","Kristina MacPherson","","S","200","25","ID Approaches to Asia","275","{'day': 'Mo', 'end': '20:30', 'location': 'RML 420', 'start': '19:00'}","False","False","","3","","","O","20053","","Research","2005"
"0000011709","1.0","0000000093","ASIAN","","0","","","","","Staff","","S","200","999","Academic Internship","294","","True","False","","3","","","O","20053","","Research","2005"
"0000011710","1.0","0000000094","ASIAN","","1","","","","","Pin Pin Wan","","S","200","999","IS/Chinese Social Work","298","","False","False","","3","","","O","20053","Independent Study","Research","2005"
"0000011711","1.0","0000000096","ASIAN","","0","","","","","Staff","","S","300","999","Academic Internship","394","","True","False","","3","","","O","20053","","Research","2005"
"0000011712","1.0","0000000097","ASIAN","","0","","","","","Staff","","S","300","999","IR/","398","","False","False","","3","","","O","20053","Independent Research","Research","2005"
"0000011714","1.0","0000000108","BIO","Students study the biology of organisms emphasizing the relationship of structure and function within an ecological/evolutionary context. Common requirements of all organisms are contrasted with the diversity of solutions displayed by the myriad of species alive today. Labs investigate form, physiology and behavior of selected organisms. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually. GE: NST-B, NSL. Prerequisite: Biology 125.","68","","0000000108","1","","John D. Schade","","S","100","24","Evolution and Diversity","126","{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'}","False","Biology 125.","A","3","","","C","20053","Organismic Biology","Research","2005"
"0000011715","1.0","0000000108","BIO","Students study the biology of organisms emphasizing the relationship of structure and function within an ecological/evolutionary context. Common requirements of all organisms are contrasted with the diversity of solutions displayed by the myriad of species alive today. Labs investigate form, physiology and behavior of selected organisms. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually. GE: NST-B, NSL. Prerequisite: Biology 125.","68","","0000000108","2","","Jason D. Hill","","S","100","24","Evolution and Diversity","126","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'}","False","Biology 125.","B","3","","","C","20053","Organismic Biology","Research","2005"
"0000011716","1.0","0000000108","BIO","Students study the biology of organisms emphasizing the relationship of structure and function within an ecological/evolutionary context. Common requirements of all organisms are contrasted with the diversity of solutions displayed by the myriad of species alive today. Labs investigate form, physiology and behavior of selected organisms. Students attend lectures plus one 2.5-hour laboratory per week. Taught annually. GE: NST-B, NSL. Prerequisite: Biology 125.","69","","0000000108","3","","Diane K. Angell","","S","100","24","Evolution and Diversity","126","{'day': 'Mo', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'}","False","Biology 125.","C","3","","","C","20053","Organismic Biology","Research","2005"
"0000011723","1.0","0000000119","BIO","Microbiology examines the morphology, composition, metabolism and genetics of microorganisms with emphasis on the bacteria and viruses. Students examine the dynamic impact of microbes on humans, the immune response and the role of microbes in the environment. Students attend lectures plus one 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125 and Chemistry 121 or 125.","70","","0000000119","","","Theodore Johnson","","S","200","20","Microbiology","231","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'}","False","Prerequisites: Biology 125 and Chemistry 121 or 125.","","3","","","C","20053","","Research","2005"
"0000011726","1.0","0000000122","BIO","Genetics examines relationships between genotype and phenotype in prokaryotic and eukaryotic organisms from classical, molecular and population perspectives. Lectures cover ideas and technologies contributing to understanding mechanisms of gene transmission and regulation. Laboratories utilize model organisms to investigate classical and molecular modes of inheritance. Students attend lectures plus one three-hour laboratory per week; taught twice a year. Prerequisites: Biology 125 and one semester of chemistry or concurrent registration.","33","","0000000122","1","","Pele E. Rich","","S","200","24","Intermediate Genetics","233","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'}","False","Prerequisites: Biology 125 and one semester of chemistry or concurrent registration.","A","3","","","C","20053","","Research","2005"
"0000011727","1.0","0000000122","BIO","Genetics examines relationships between genotype and phenotype in prokaryotic and eukaryotic organisms from classical, molecular and population perspectives. Lectures cover ideas and technologies contributing to understanding mechanisms of gene transmission and regulation. Laboratories utilize model organisms to investigate classical and molecular modes of inheritance. Students attend lectures plus one three-hour laboratory per week; taught twice a year. Prerequisites: Biology 125 and one semester of chemistry or concurrent registration.","46","","0000000122","2","","Sara E. Fruehling","","S","200","24","Intermediate Genetics","233","{'day': 'Mo', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'}","False","Prerequisites: Biology 125 and one semester of chemistry or concurrent registration.","B","3","","","C","20053","","Research","2005"
"0000011730","1.0","0000000124","BIO","Students focus on the natural history of Upper Midwest vertebrates and phylogenetic, morphological and functional relationships of these animals. Laboratories include identification, morphology and specimen preparation. During field trips, students document bird migrations, amphibian chorusing and other animal activities. Independent projects explore topics ranging from bluebird nesting behavior to thermal conductivity and insulation in animals. Students attend lectures plus one 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125, 126.","21","","0000000124","","","Eugene Bakko","","S","200","18","Vertebrate Biology","242","{'day': 'Tu', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'SC 278', 'start': '08:00'}","False","Prerequisites: Biology 125, 126.","","3","","","C","20053","","Research","2005"
"0000011732","1.0","0000000134","BIO","The course begins with an in-depth look at a plant cell and its physiology, followed by a discussion of whole plant physiology as it relates to cellular functions. Students attend lectures plus one 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125 and 126, Chemistry 125 and 126.","26","","0000000134","","","John Giannini","","S","200","12","Plant Physiology","251","{'day': 'Mo', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'}","False","Prerequisites: Biology 125 and 126, Chemistry 125 and 126.","","3","","","C","20053","","Research","2005"
"0000011734","1.0","0000000139","BIO","Ecology focuses on the study of the interrelationships that determine the distribution and abundance of organisms. This course examines organism-environment interactions and the study of populations, communities and ecosystems. Consideration is given to use of ecological studies in ecosystem management. Students attend lectures plus one 3-hour laboratory per week. Taught twice a year. Prerequisites: Biology 125 and 126.","48","","0000000139","","","Daniel L. Hernandez","","S","200","18","Ecological Principles","261","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'}","False","Prerequisites: Biology 125 and 126.","","3","","","C","20053","","Research","2005"
"0000011737","0.25","0000000152","BIO","For science majors, learning to read the primary literature found in scientific journals is an important transition from classroom learning to post-graduate endeavors. Students enrolled in this course will read, present and discuss current scientific papers in a field selected by participating faculty. The goal is to garner sufficient expertise in the particular field to allow critical analysis of the scientific literature. Requires permission of instructor. May be repeated if topics are different.","10","","","","","Eugene Bakko","","S","200","10","Top: Writing in India","291","","False","False","A","3","","","C","20053","Topics in Biological Research","Topic","2005"
"0000011738","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","1","","","","","Diane K. Angell","","S","200","999","Academic Internship","294","","True","False","","3","","","O","20053","Internship","Research","2005"
"0000011739","1.0","0000000154","BIO","Independent Study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its website.","2","","","","","Theodore Johnson","","S","200","999","IS/Medical Sociology","298","","False","False","","3","","","O","20053","Independent Study","Research","2005"
"0000011740","1.0","0000000159","BIO","Molecular biology techniques are bringing about a revolution in understanding living organisms. Students study the structure and function of macromolecules, methods currently used to clone and analyze genes and new insights into basic biological processes which these methods provide. The course uses lecture and discussion topics with one project-oriented 3-hour laboratory per week. Taught annually. Prerequisites: Biology 125 126 and 233.","15","","0000000159","","","Kim A. Kandl","","S","300","12","Molecular Biology","364","{'day': 'Tu', 'end': '11:00', 'location': 'SC 274', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'SC 274', 'start': '09:30'}","False","Prerequisites: Biology 125 126 and 233.","","3","","","C","20053","","Research","2005"
"0000011742","1.0","0000000169","BIO","The idea of evolution forms the foundation for all modern biological thought. This course will examine the processes of evolution in detail (selection, genetic drift, mutation, migration) and study the methods by which biologists reconstruct the history of life on the planet. Advanced topics will be explored through reading and discussion of journal articles. The social and historical context of evolutionary theory will be discussed. GE: ORC. Prerequisites: Biology 125, 126, and 233 . Offered annually.","9","","","","","Jean C. Porterfield","","S","300","18","Evolutionary Biology","383","{'day': 'Tu', 'end': '13:10', 'location': 'SC 274', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'SC 274', 'start': '12:45'}","False","Prerequisites: Biology 125, 126, and 233 . Offered annually.","","3","","","O","20053","","Research","2005"
"0000011743","1.0","0000000170","BIO","From tiny ion channels to the basis for learning, neuroscience is a rapidly developing area. Using texts, reviews and current literature, students examine in depth the fundamental unit of the nervous system, the neuron. The goals are to understand how neurons accomplish their unique functions: electrical signaling, synaptic transmission and directed growth and remodeling. Prerequisites: Biology 125 and progress towards a major in any of the natural sciences. GE: ORC.","12","","","","","Kevin M. Crisp","","S","300","18","Neuroscience Seminar","385","{'day': 'Mo', 'end': '15:00', 'location': 'SC 274', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'SC 274', 'start': '13:00'}","False","Prerequisites: Biology 125 and progress towards a major in any of the natural sciences. GE: ORC.","","3","","","O","20053","","Research","2005"
"0000011744","1.0","0000000171","BIO","","21","","0000000171","","","James Dickson Jr.;Louis Henry Kermott","","S","300","18","Animal Behavior","386","{'day': 'Tu', 'end': '11:00', 'location': 'SC 374', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'SC 374', 'start': '09:30'}","False","False","","3","","","O","20053","","Research","2005"
