"clbid","credits","crsid","department","description","enrolled","gereqs","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000146341","1.0","0000022445","REL","This course offers an intensive study of African-American religious thought with particular emphasis on the 20th century. Structured thematically, the course covers: African religious roots; religious thought with particular emphasis on ideas of suffering, redemption, salvation, and liberation; the relation between Christianity and other religious traditions; and Afrocentrism and Black Nationalism as interpretive and critical lenses of African-American religious experience.","5","CTD;PAR","","Timothy M. II. Rainey","S","200","25","African-American Religious Thought","","267","","False","False","","4","O","20214","African-American Religious Thought in the 20th Century","Research","2021"
"0000146343","1.0","0000001289","SOAN","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as ""Do we have a 'human nature'?,"" ""Why does social inequality exist?,"" ""What is race?,"" and ""How do societies change?"" In answering these questions students learn to develop a sociological imagination. In doing so they review the various research methods and theories that form the sociological tradition. This course is open to first-year students or students in certain accredited programs. Open to all students when taught during the summer. Offered each semester. Also counts toward race and ethnic studies and gender and sexuality studies majors and gender and sexuality studies concentration.","4","PAR;SCS","","Sidonia Alenuma","S","100","15","Intro to Sociology","","121","","False","False","B","4","O","20214","Introduction to Sociology","Research","2021"
"0000146344","1.0","0000001403","STAT","A first course in statistical methods for scientists, this course addresses issues for proposing/designing an experiment, as well as exploratory and inferential techniques for analyzing and modeling scientific data. Topics include probability models, exploratory graphics, descriptive techniques, statistical designs, hypothesis testing, confidence intervals, and simple/multiple regression. Offered each semester. Enrollment limited for seniors. STAT 110, STAT 212, and ECON 260 all provide an introduction to statistics and students should not take more than one; they all can serve as a prerequisite for further courses. Also counts toward environmental studies major (natural science and social science emphases), kinesiology major, and management studies and mathematical biology concentrations.","7","QCR","","Joe Roith","S","200","25","Statistics for Science","","212","","False","False","","4","O","20214","Statistics for the Sciences","Research","2021"
"0000146400","1.0","0000000824","MUSIC","This course presents a study of the historical development of jazz, from its roots in blues and ragtime at the ""beginning"" of the 20th century to the present, focusing on its principal forms and styles, its role in American culture, and contributions of major artists. Offered periodically. Also counts toward race and ethnic studies major and Africa and the African Diaspora and race and ethnic studies concentrations.","7","CRE;PAR","","JC Sanford","S","200","30","History of Jazz","","231","","False","False","","4","O","20214","","Research","2021"
"0000146556","1.0","0000000322","EDUC","This course examines basic assumptions about social science, primal thought, feminism, humanities, history, post-modernism, and thematic social studies. Students pursue methodologies of structuring knowledge and the means of advancing knowledge in each discipline. Students learn how to relate their social studies subject matter to the total social studies curriculum. Offered annually in the spring semester. Prerequisite: EDUC 260 or EDUC 290 or permission of instructor.","4","ERC","","Robert W. McClure","S","300","20","Social Studies Perspectives","","334","","False","EDUC 260 or EDUC 290 or permission of instructor.","","4","O","20214","","Research","2021"
"0000146557","1.0","0000000499","ID","This course provides an examination and application of the key content, skills, and perspectives of human geography. The lens of the geographer focuses on the spatial distribution of phenomena over the surface of the earth, asking the questions ""where?"" and ""why there?"". The practices and skills of geography are used to investigate a variety of issues in the Middle East, including environmental problems, the culture and management of sacred places, and the reasons for war and the need for peace. Counts toward environmental studies major (social science emphasis) and Middle Eastern studies concentration.","5","GHS;SCS","","Robert W. McClure","S","200","25","Human Geography of the Middle East","","234","","False","False","","4","O","20214","","Research","2021"
"0000146560","1.0","0000001137","PSCI","The course examines continuity and change in Russian political culture. The institutions and politics between the Soviet and Post-Soviet periods under the leadership of Yeltsin and Putin are explored. The course considers Russia as an energy-exporting state. The varied political developments of former Soviet republics in Europe, the Caucasus and Central Asia are compared and contrasted. Also counts toward Russian area studies major and management studies concentration.","6","SCS","","Anthony Lott","A","200","24","Russian/Eurasian Politics","","282","","False","False","","4","O","20214","Russian and Eurasian Politics","Research","2021"
"0000146561","1.0","0000017196","PSCI","The goal of this course is to introduce students to the long tradition of debate concerning the nature and legitimacy of war. The course explores the reality of war, the revulsion of violence and the possibility of just war through texts ranging from Thucydides, Aquinas, and Walzer. The course explores contemporary debates in light of moral and empirical arguments learned.","8","","","Anthony Lott","A","100","30","The Problem of War","","119","","False","False","","4","O","20214","","Research","2021"
"0000146801","1.0","0000001394","THEAT","Prerequisite: at least three previous courses in department.","0","OEP","","Bryan Schmidt","S","200","0","Academic Internship","","294","","True","at least three previous courses in department.","A","4","C","20214","Academic Internships","Research","2021"
"0000146805","1.0","0000024281","WRIT","This course prepares McNair Scholars for the rigors of academic writing. Because the enrolled students represent a variety of disciplines, this course serves as a general introduction to writing in research; it is not meant to replace discipline-specific research methods or writing courses. Students read scholarly literature in their disciplines, write a literature review, draft various sections of a research paper, and prepare for a formal poster presentation. Offered every summer. Prerequisite: successful completion of First Year Seminar or Writing and Rhetoric.","6","WAC","","Jean C. Porterfield","S","200","7","McNair Research Writing","Course dates: May 31 to August 5.;Open only to McNair Scholars.","237","","False","successful completion of First Year Seminar or Writing and Rhetoric.","","4","O","20214","McNair Research Writing Across the Disciplines","Research","2021"
"0000146826","1.0","0000000175","BIO","Independent research is offered for students dedicated to an in-depth research experience. In conjunction with a faculty supervisor, a student conceives and performs a research project leading to the production of a major piece of work such as a research paper or poster presentation. Independent research requires permission of a supervisor and completion of an independent research form available at the Registrar's Office or its website.","1","","","Kim A. Kandl","S","300","0","IR/Lipid Droplet Bioinformatics","","398","","False","False","A","4","C","20214","Independent Research","Research","2021"
"0000146974","1.0","0000000541","GREEK","Third-semester Greek students translate selections from Plato's dialogues (Apology, Crito, Phaedo) while reviewing vocabulary, grammar, and syntax. Topics for class discussion include the life and death of Socrates and the significance of the dialogues as works of literature. Offered annually in the fall semester. Also counts toward linguistic studies concentration. Prerequisite: GREEK 112 or equivalent.","1","WLC","","Anne Groton","S","200","1","Intermediate Greek","This is a special offering.","231","","False","GREEK 112 or equivalent.","","4","C","20214","","Research","2021"
"0000147160","1.0","0000000866","MUSIC","","1","","","Therees Hibbard","S","300","0","IR/Underrepresented Conductors","","398","","False","False","A","4","C","20214","Independent Research","Research","2021"
"0000147177","1.0","0000001320","SOAN","","1","","","Marc David","S","300","0","IR/Antiracism Literature Review","","398","","False","False","A","4","C","20214","Independent Research","Research","2021"

