"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000164233","1.0","0000001113","PSCI","This course explores the diverse modes of inquiry in the discipline of political science. Broadly centered around the question, ""How do you know?,"" students focus on different methods of locating and collecting data, reviewing political texts and contested concepts, and constructing theoretical explanations of political phenomena. Offered each semester. Also counts toward environmental studies major (social science emphasis) and business and management studies concentration. Prerequisite: one previous course in department and a declared PSCI major. Non-majors may register with permission of instructor.","24","0/0","QCR","","","","Caleb Schmotter","","S","200","19","Analyzing Politics","Open only to juniors and sophomores. Political Science majors should plan to;enroll in PSCI 220 during their sophomore or junior year. This course is a;prerequisite for all 300-level Political Science courses.","220","{'day': 'Mo', 'end': '11:40', 'location': 'RNS 435', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'RNS 435', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'RNS 435', 'start': '10:45'}","False","one previous course in department and a declared PSCI major. Non-majors may register with permission of instructor.","A","3","0/0","","C","20253","Analyzing Politics and Policies","Research","2025"
"0000164234","1.0","0000001113","PSCI","This course explores the diverse modes of inquiry in the discipline of political science. Broadly centered around the question, ""How do you know?,"" students focus on different methods of locating and collecting data, reviewing political texts and contested concepts, and constructing theoretical explanations of political phenomena. Offered each semester. Also counts toward environmental studies major (social science emphasis) and business and management studies concentration. Prerequisite: one previous course in department and a declared PSCI major. Non-majors may register with permission of instructor.","25","0/0","QCR","","","","Caleb Schmotter","","S","200","19","Analyzing Politics","Open only to juniors and sophomores. Political Science majors should plan to;enroll in PSCI 220 during their sophomore or junior year. This course is a;prerequisite for all 300-level Political Science courses.","220","{'day': 'Mo', 'end': '12:45', 'location': 'RNS 435', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'RNS 435', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'RNS 435', 'start': '11:50'}","False","one previous course in department and a declared PSCI major. Non-majors may register with permission of instructor.","B","3","0/0","","C","20253","Analyzing Politics and Policies","Research","2025"
"0000164236","1.0","0000000582","HIST","This course is a survey of Mediterranean civilization from the early history of Italy through the Roman Republic and Empire. Language Across the Curriculum (LAC) course periodically available in Latin. Offered annually.","22","","GHS;WAC","","","","Timothy R. Howe","","S","200","22","Ancient: Rome","","204","{'day': 'Tu', 'end': '11:00', 'location': 'HH 501', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'HH 501', 'start': '09:30'}","False","False","","3","","","C","20253","","Research","2025"
"0000164237","1.0","0000038374","ENGL","In this course, students analyze globalization and its consequences through two related lenses: the ethical and the literary. First, students explore this phenomenon historically and philosophically, and consider different ethical responses to globalization's consequences. Then, students read and analyze works of Anglophone literature (English-language literature from Africa, Asia, and the Caribbean) that engage these very issues. This approach both reorients understandings of the ethics of globalization and emphasizes the role of literature in ethical inquiry. Prerequisite: WRIT 120 or equivalent.","29","","ERC","","","","Elisabeth G. Alderks","","S","200","30","Anglophone Lit and Global Ethics","","219","{'day': 'Tu', 'end': '09:25', 'location': 'RML 515', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'RML 515', 'start': '08:00'}","False","WRIT 120 or equivalent.","","3","","","O","20253","Anglophone Literature and Global Ethics","Research","2025"
"0000164238","1.0","0000001314","SOAN","This course introduces students to anthropological theory and the ""culture"" of the discipline itself. Students examine anthropology's formation during the Industrial Revolution and the Age of Empire, which called for new explanations of human differences and gave new significance to the nature and meaning of ""culture."" They explore the method of participant observation research, the question of whether anthropology is a science, the problem of representing one culture to another, and the changing nature of ethnographic writing. Offered annually in the fall semester. Prerequisite: open to sociology/anthropology majors only.","8","","WAC","","","","Vivian Choi","","S","200","18","Anthropologic Theory","","292","{'day': 'Mo', 'end': '12:45', 'location': 'HH 522', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'HH 522', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'HH 522', 'start': '11:50'}","False","open to sociology/anthropology majors only.","","3","","","O","20253","Anthropological Theory","Research","2025"
"0000164245","1.0","0000000769","ID","This course provides an overview of the key issues that face arts administrators. Topics addressed include strategic planning, budgeting, fund raising, audience development, and human resource management as each relates to the unique setting of the arts. Case analysis and guest speakers provide opportunities to explore application of key concepts. Offered annually.","24","","SCS","","","","Eric J. Broker","","S","200","24","Arts Management","","229","{'day': 'Mo', 'end': '22:00', 'location': 'HH 523', 'start': '19:00'}","False","False","","3","","","C","20253","","Research","2025"
"0000164246","1.0","0000018781","ASCON","The final course in the Asian Conversations program will provide critical reflections on the students' academic and personal journey in the Asian Conversations program in particular, and in the college as a whole. Students examine diverse interpretations of Asia, engage with various primary and secondary texts through written and oral presentations, including materials collected during January Term, and conclude their overall experiences from their past two years in the learning community and beyond. Offered annually in the spring semester. Prerequisite: CHIN 231 or JAPAN 231, and ASCON 215 or ASCON 216.","8","0/0","WAC","","","","Ka F. Wong","","S","200","20","Asian Conversations: Engaging Asia","This course includes an academic civic engagement (ACE) component.;Not open to first-year students.","220","{'day': 'Tu', 'end': '13:10', 'location': 'TOH 210', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'TOH 210', 'start': '12:45'}","False","CHIN 231 or JAPAN 231, and ASCON 215 or ASCON 216.","","3","","","O","20253","Asian Conversations: Engaging Asia with Voice and Representation","Research","2025"
"0000164249","1.0","0000000978","PHIL","This course surveys the influential philosophical traditions of India and China. Students explore the major traditions including Hinduism, Buddhism, Jainism, Confucianism, and Taoism and consider other traditions with which they have interacted. Where appropriate, comparisons are drawn to Western philosophical traditions. Offered annually. Prerequisite: One course in Philosophy or permission of instructor.","12","","GHS;RFV","","","","Danny Muñoz-Hutchinson","","S","200","25","Asian Philosophy","","249","{'day': 'Tu', 'end': '11:00', 'location': 'OM 110', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'OM 110', 'start': '09:30'}","False","One course in Philosophy or permission of instructor.","","3","","","O","20253","","Research","2025"
"0000164257","0.25","0000001020","KINES","This course offers instruction/review of fundamental skills, rules, and etiquette of badminton. Students focus on basic strategy in game playing.","28","","ACB","","","2","Julienna D. Graf","","S","100","20","Badminton","This is a second-half of semester course.","151","{'day': 'Mo', 'end': '10:00', 'location': 'Tostrud Ctr', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'Tostrud Ctr', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'Tostrud Ctr', 'start': '09:05'}","False","False","","3","","","C","20253","","Research","2025"
"0000164260","0.25","0000000347","DANCE","Ballroom classes are taught from a social and aesthetic perspective. In this course, students learn fundamental steps, rhythms, and styling in foxtrot, slow waltz, east coast swing, and cha cha. May be repeated with permission of instructor. P/N only. Offered each semester.","20","","ACB","","","","Ella Kraabel","","S","100","20","Ballroom I","This section is for Leads.","106","{'day': 'Tu', 'end': '11:00', 'location': 'CAD Studio 1', 'start': '10:05'};{'day': 'Th', 'end': '10:50', 'location': 'CAD Studio 1', 'start': '09:55'}","True","False","A","3","","","C","20253","","Research","2025"
"0000164261","0.25","0000000347","DANCE","Ballroom classes are taught from a social and aesthetic perspective. In this course, students learn fundamental steps, rhythms, and styling in foxtrot, slow waltz, east coast swing, and cha cha. May be repeated with permission of instructor. P/N only. Offered each semester.","20","","ACB","","","","Ella Kraabel","","S","100","20","Ballroom I","This section is for Follows.","106","{'day': 'Tu', 'end': '11:00', 'location': 'CAD Studio 1', 'start': '10:05'};{'day': 'Th', 'end': '10:50', 'location': 'CAD Studio 1', 'start': '09:55'}","True","False","B","3","","","C","20253","","Research","2025"
"0000164266","0.25","0000001001","KINES","This course offers an introduction/review of fundamental skills, rules, and drills. Students focus on basic strategy in game playing.","24","","ACB","","","","Ryan K. Townzen","","S","100","24","Basketball","","111","{'day': 'Mo', 'end': '11:40', 'location': 'SAC Gym Ctr', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SAC Gym Ctr', 'start': '10:45'}","False","False","","3","","","C","20253","","Research","2025"
"0000164269","1.0","0000000239","CHIN","Second semester of the two elementary courses, designed for those who have completed CHIN 111 or with equivalent backgrounds. It aims to further develop basic Mandarin skills, such as speaking, listening, reading, writing, and knowledge of Chinese culture and society. Students should achieve the Novice High to Intermediate Low level on the ACTFL proficiency scale, identifying about 300 characters upon completion of this course. Students attend three classes and one laboratory weekly. Offered annually in the spring semester. Prerequisite: CHIN 111 or placement.","14","","","0000000239","","","Hui Bi","","S","100","24","Beginning Chinese II","Students in CHIN 112A must also register for CHIN 112 Lab.","112","{'day': 'Mo', 'end': '11:40', 'location': 'TOH 310', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'TOH 310', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'TOH 310', 'start': '10:45'}","False","CHIN 111 or placement.","A","3","","","O","20253","","Research","2025"
"0000164270","1.0","0000000239","CHIN","Second semester of the two elementary courses, designed for those who have completed CHIN 111 or with equivalent backgrounds. It aims to further develop basic Mandarin skills, such as speaking, listening, reading, writing, and knowledge of Chinese culture and society. Students should achieve the Novice High to Intermediate Low level on the ACTFL proficiency scale, identifying about 300 characters upon completion of this course. Students attend three classes and one laboratory weekly. Offered annually in the spring semester. Prerequisite: CHIN 111 or placement.","15","","","0000000239","","","Hui Bi","","S","100","24","Beginning Chinese II","Students in CHIN 112B must also register for CHIN 112 lab.","112","{'day': 'Mo', 'end': '12:45', 'location': 'TOH 310', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'TOH 310', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'TOH 310', 'start': '11:50'}","False","CHIN 111 or placement.","B","3","","","O","20253","","Research","2025"
"0000164271","0.0","0000000240","CHIN","","29","","","0000000239","","","Staff","","S","100","48","Beginning Chinese II Lab","Chinese labs meeting times are now flexible and will be determined by the;availability of the leaders and students.","112","","False","False","","3","","","O","20253","","Lab","2025"
"0000164272","1.0","0000000477","FREN","Students expand their developing language skills by continuing to listen, speak, read, and write on topics familiar to them. They continue their study of social and cultural notions inherent in the daily life of peoples in diverse Francophone communities and learn to think critically and make interdisciplinary connections and informed cross-cultural comparisons. Offered each semester. Does not count toward French major. Prerequisite: FREN 111 or placement.","8","","","","","","Livi C. Yoshioka-Maxwell","","S","100","24","Beginning French II","","112","{'day': 'Mo', 'end': '11:40', 'location': 'TOH 214', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'TOH 214', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'TOH 214', 'start': '10:45'}","False","FREN 111 or placement.","B","3","","","O","20253","","Research","2025"
"0000164273","1.0","0000000477","FREN","Students expand their developing language skills by continuing to listen, speak, read, and write on topics familiar to them. They continue their study of social and cultural notions inherent in the daily life of peoples in diverse Francophone communities and learn to think critically and make interdisciplinary connections and informed cross-cultural comparisons. Offered each semester. Does not count toward French major. Prerequisite: FREN 111 or placement.","18","","","","","","Livi C. Yoshioka-Maxwell","","S","100","24","Beginning French II","","112","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 214', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'TOH 214', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 214', 'start': '09:05'}","False","FREN 111 or placement.","A","3","","","O","20253","","Research","2025"
"0000164274","1.0","0000000477","FREN","Students expand their developing language skills by continuing to listen, speak, read, and write on topics familiar to them. They continue their study of social and cultural notions inherent in the daily life of peoples in diverse Francophone communities and learn to think critically and make interdisciplinary connections and informed cross-cultural comparisons. Offered each semester. Does not count toward French major. Prerequisite: FREN 111 or placement.","18","","","","","","Madeleine D. Wolf","","S","100","24","Beginning French II","","112","{'day': 'Mo', 'end': '12:45', 'location': 'TOH 316', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'TOH 316', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'TOH 316', 'start': '11:50'}","False","FREN 111 or placement.","C","3","","","O","20253","","Research","2025"
"0000164276","1.0","0000000505","GERM","Students continue to develop basic language skills with emphasis on expanding vocabulary and on writing assignments that aid in the practical application of grammatical concepts. Communicating in German about familiar personal topics, students acquire vocabulary about sports, food, holidays, school, the environment, and life in German speaking cultures. Offered annually in the spring semester. Does not count toward German major or concentration. Prerequisite: GERM 111 or by placement test.","22","","","","","","Nora Vosburg","","S","100","24","Beginning German II","Prerequisite: GERM 111 or by placement test.","112","{'day': 'Mo', 'end': '08:55', 'location': 'TOH 212', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'TOH 212', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'TOH 212', 'start': '08:00'}","False","GERM 111 or by placement test.","A","3","","","O","20253","","Research","2025"
"0000164277","1.0","0000000505","GERM","Students continue to develop basic language skills with emphasis on expanding vocabulary and on writing assignments that aid in the practical application of grammatical concepts. Communicating in German about familiar personal topics, students acquire vocabulary about sports, food, holidays, school, the environment, and life in German speaking cultures. Offered annually in the spring semester. Does not count toward German major or concentration. Prerequisite: GERM 111 or by placement test.","10","","","","","","Yann Chen","","S","100","24","Beginning German II","Prerequisite: GERM 111 or by placement test.","112","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 212', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'TOH 212', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 212', 'start': '09:05'}","False","GERM 111 or by placement test.","B","3","","","O","20253","","Research","2025"
"0000164278","1.0","0000000540","GREEK","In this two-course sequence students learn the basics of ancient Greek. By studying the language's vocabulary, grammar, and syntax, they not only gain appreciation for its intricacies and nuances but also learn more about their own language and about language in general. Completion of both GREEK 111 and GREEK 112 equips students to translate almost any ancient Greek text with the aid of a dictionary. Offered annually in the spring semester. Prerequisite: GREEK 111 or equivalent.","7","","","","","","Peter Moench","","S","100","25","Beginning Greek II","","112","{'day': 'Mo', 'end': '11:40', 'location': 'TOH 300', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'TOH 300', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'TOH 300', 'start': '10:45'}","False","GREEK 111 or equivalent.","","3","","","O","20253","","Research","2025"
"0000164279","1.0","0000000660","JAPAN","This course is an introduction to speaking, reading, and writing Japanese; writing includes the learning of all syllabic letters (Hiragana and Katakana) and basic Kanji (Chinese characters). Class meets four times weekly. Individual language laboratory visits are also required. Offered annually in the spring semester. Does not count toward Japanese major. Prerequisite: JAPAN 111 or equivalent.","18","","","0000000660","","","Hiroe Akimoto","","S","100","24","Beginning Japanese II","Students in Japanese 112A must also register for one lab Japanese 112 AL, BL, or;CL.","112","{'day': 'Mo', 'end': '11:40', 'location': 'TOH 114', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'TOH 114', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'TOH 114', 'start': '10:45'}","False","JAPAN 111 or equivalent.","A","3","","","O","20253","","Research","2025"
"0000164280","1.0","0000000660","JAPAN","This course is an introduction to speaking, reading, and writing Japanese; writing includes the learning of all syllabic letters (Hiragana and Katakana) and basic Kanji (Chinese characters). Class meets four times weekly. Individual language laboratory visits are also required. Offered annually in the spring semester. Does not count toward Japanese major. Prerequisite: JAPAN 111 or equivalent.","15","","","0000000660","","","Hiroe Akimoto","","S","100","24","Beginning Japanese II","Students in Japanese 112B must also register for one lab Japanese 112 AL, BL, or;CL.","112","{'day': 'Mo', 'end': '12:45', 'location': 'TOH 114', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'TOH 114', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'TOH 114', 'start': '11:50'}","False","JAPAN 111 or equivalent.","B","3","","","O","20253","","Research","2025"
"0000164284","1.0","0000000712","LATIN","In this two-course sequence students learn the basics of classical Latin. By studying the language's vocabulary, grammar, and syntax, they not only gain appreciation for its intricacies and nuances but also learn more about their own language and about language in general. Completion of both LATIN 111 and LATIN 112 equips students to translate almost any classical Latin text with the aid of a dictionary. Offered annually in the spring semester. Prerequisite: LATIN 111 or equivalent.","22","","","","","","Anne Groton","","S","100","25","Beginning Latin II","","112","{'day': 'Mo', 'end': '14:55', 'location': 'TOH 310', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'TOH 310', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'TOH 310', 'start': '14:00'}","False","LATIN 111 or equivalent.","","3","","","O","20253","","Research","2025"
"0000164286","1.0","0000000922","NORW","Students continue developing proficiency in spoken and written Norwegian, increasing their vocabulary, improving grammatical accuracy, and gaining experience reading and listening to authentic materials. Offered annually during January term and spring semester. Prerequisite: NORW 111 or by placement test.","22","","","","","","Thea M. Lund","","S","100","24","Beginning Norwegian II","","112","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 312', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'TOH 312', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 312', 'start': '09:05'}","False","NORW 111 or by placement test.","A","3","","","O","20253","","Research","2025"
"0000164287","1.0","0000000922","NORW","Students continue developing proficiency in spoken and written Norwegian, increasing their vocabulary, improving grammatical accuracy, and gaining experience reading and listening to authentic materials. Offered annually during January term and spring semester. Prerequisite: NORW 111 or by placement test.","23","","","","","","Thea M. Lund","","S","100","24","Beginning Norwegian II","","112","{'day': 'Mo', 'end': '11:40', 'location': 'TOH 312', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'TOH 312', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'TOH 312', 'start': '10:45'}","False","NORW 111 or by placement test.","B","3","","","O","20253","","Research","2025"
