"clbid","credits","crsid","department","description","enrolled","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000059032","1.0","0000000616","HIST","This course surveys women's experience in American life from the colonial period to the present. Students examine the changing economic, social, and legal status of women, society's attitudes towards women, and the growth of a women's movement.","10","","Megan J. Feeney","S","200","999","Women in America","","272","{'day': 'Mo', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 577', 'start': '10:00'}","False","False","","4","O","20064","","Research","2006"
"0000059035","1.0","0000001402","STAT","This course is an introduction to basic concepts in statistics in the spirit of the liberal arts. Students will learn practical applications, and the language and reasoning involved in analyzing behavioral and health science data. Topics include central tendency, dispersion, probability, random variables, binomial and normal distributions, estimation and hypothesis testing, contingency tables, analysis of variance, and correlation. Computer applications are integrated throughout. Not recommended for students who have successfully completed a term of calculus.","8","","Sharon Lane-Getaz","S","100","999","Prin of Statistics","","110","{'day': 'Mo', 'end': '11:30', 'location': 'SC 182', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 182', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 182', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 182', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 182', 'start': '10:00'}","False","False","","4","O","20064","Principles of Statistics","Research","2006"
"0000059038","1.0","0000001104","PSCI","Why do some societies have democratic political systems and others authoritarian ones? What is democracy? Is it the norm or the exception? The course provides a foundation for the understanding of contemporary political regimes. It applies the major concepts of comparative analysis to the political systems of Western and non-Western societies.","3","","D Christopher Brooks","S","100","999","Comparative Politics","","112","{'day': 'Mo', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 520', 'start': '12:30'}","False","False","","4","O","20064","","Research","2006"
"0000059039","1.0","0000001119","PSCI","What distribution of wealth and the rewards from work and the possession of productive property is just? Are we entitled to economic support simply because we are members of society, or should we accept impoverishment as the just consequence of failure in the market? Students examine Christian and non-Christian ethical traditions from Europe and America which are devoted to answering these and related questions.","8","","D Christopher Brooks","S","200","999","Distributive Justice","","249","{'day': 'Mo', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'}","False","False","","4","O","20064","","Research","2006"
"0000059040","1.0","0000001399","THEAT","An investigation into the relationship between theater and society by studying various issues in theater arts including censorship, funding, arts advocacy and arts education. Issues of contemporary ethical concern will be discussed and analyzed through a variety of historical and contemporary normative perspectives. Prerequisite: Theatre 110.","5","","Karen Wilson","S","300","999","Top:Theatre in Society","Pre-requisite: Completion of BTS-T or permission of instructor.","380","{'day': 'Mo', 'end': '09:30', 'location': 'TB 227', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'TB 227', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'TB 227', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'TB 227', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'TB 227', 'start': '08:00'}","False","Theatre 110.","","4","O","20064","Theater in Society","Topic","2006"
"0000059041","1.0","0000001374","THEAT","Students examine and apply aesthetic principles involved in the performance of prose-fiction, poetry and drama. Offered every year.","4","","Karen Wilson","S","100","999","Oral Interpretation","","100","{'day': 'Mo', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'}","False","False","","4","O","20064","","Research","2006"
"0000059043","1.0","0000001209","REL","Why does human life involve suffering? If God is omnipotent and good, why does evil exist? Is God responsible, or can all evil -- and the suffering that accompanies it -- be explained by sin or human frailty. Students will explore some of the ways that Christian theology had attempted to respond to these questions, and they will also examine challenges to the Christian perspective. Prerequisite: BTS-B.","22","","Edmund Santurri","S","200","999","God & Human Suffering","","225","{'day': 'Mo', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 420', 'start': '12:30'}","False","BTS-B.","","4","O","20064","God and Human Suffering","Research","2006"
"0000059046","1.0","0000000804","MUSIC","Students learn fundamental music materials and a perspective of music history as well as develop techniques of listening to aid in the critical perception and fuller enjoyment of the musical art. The course has a required activity fee. Generally offered in the Spring Semester. No activity fee for this course during summer school.","1","","Charles Forsberg","S","100","999","The Art of Music","","131","{'day': 'Mo', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'}","False","False","","4","O","20064","","Research","2006"
"0000059047","1.0","0000000821","MUSIC","The study of counterpoint is a way of understanding more completely the compositional techniques of great composers as well as developing one's own fluency in writing music. Students learn advanced contrapuntal techniques in Renaissance, Baroque, and 20th-centry styles, studying the works of such composers as Palestrina, Bach, and Barber. Prerequisite: Music 214.","6","","Charles Forsberg","S","200","999","Counterpoint","","222","{'day': 'Mo', 'end': '12:00', 'location': 'CHM 232', 'start': '10:30'};{'day': 'Tu', 'end': '12:00', 'location': 'CHM 232', 'start': '10:30'};{'day': 'We', 'end': '12:00', 'location': 'CHM 232', 'start': '10:30'};{'day': 'Th', 'end': '12:00', 'location': 'CHM 232', 'start': '10:30'};{'day': 'Fr', 'end': '12:00', 'location': 'CHM 232', 'start': '10:30'}","False","Music 214.","","4","O","20064","","Research","2006"
"0000059050","1.0","0000001165","PSYCH","The student is introduced to the study of relationships between the brain and behavior which lie at the heart of modern neuroscience. Study of the brain and behavior from anatomical, physiological and biochemical perspectives will focus on neural factors which contribute to basic behavioral processes including sensation, movement, emotion, sleep and arousal, motivation, learning and behavior abnormalities. Prerequisite: Psychology 125.","7","","Shelly D. Dickinson","S","200","999","Biopsychology","","238","{'day': 'Mo', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'}","False","Psychology 125.","","4","O","20064","","Research","2006"
"0000059052","1.0","0000000315","EDUC","This methods course introduces pre-service teachers to instruction, curricula, and assessment that characterize teaching for meaningful learning of social studies by elementary school children. Ancillary to the course are content, activities, and products of fine arts for elementary pupils, integrating the study of society with peoples' dance, art, music, and other forms of cultural identity.","18","","Daniel R. Forstner","S","300","999","Soc St-Elem Classroom","This class will meet in Modular Classroom 1 on June 4-8th, 9-4:00.","314","","False","False","","4","O","20064","Social Studies in Elementary Classrooms","Research","2006"
"0000059056","1.0","0000017675","EDUC","The course includes strategies and materials for teaching English to speakers of other languages. Students learn strategies that focus on the development of listening, speaking, reading, and writing skills in English language learners. Students review materials appropriate for non-native English speakers and create their own materials and lesson plans.","4","","Heather Campbell","S","300","999","Teaching ESL K-12","","347","","False","False","","4","O","20064","","Research","2006"
"0000059057","1.0","0000017676","EDUC","This course provides students with theoretical and practical knowledge about assessing the language proficiency of English Language Learners. Students learn how to construct and administer appropriate and non-discriminatory assessment and evaluation tools. Students administer several assessments and write a formal report.","4","","Heather Campbell","S","300","999","Assessment of ESL K-12","","348","","False","False","","4","O","20064","","Research","2006"
"0000059058","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, coordination chemistry and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one 3-hour laboratory each week. Prerequisites: high school chemistry and physics and concurrent registration in calculus (Mathematics 120 or 122). The course cannot be taken in conjunction with or after credit in Chemistry 121.","9","0000000192","Patrick N. Riley","S","100","999","Struct Chem & Equilib","","125","{'day': 'Mo', 'end': '16:00', 'location': 'SC 374', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 374', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SC 374', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SC 374', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SC 374', 'start': '14:30'}","False","Prerequisites: high school chemistry and physics and concurrent registration in calculus (Mathematics 120 or 122). The course cannot be taken in conjunction with or after credit in Chemistry 121.","","4","O","20064","Structural Chemistry and Equilibrium","Research","2006"
"0000059059","0.0","0000000193","CHEM","","9","0000000192","Staff","S","100","999","Struct Chem & Equilib Lab","","125","{'day': 'Mo', 'end': '12:00', 'location': 'SC 371', 'start': '09:00'};{'day': 'We', 'end': '12:00', 'location': 'SC 371', 'start': '09:00'}","False","False","","4","O","20064","","Lab","2006"
"0000059060","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. The first semester focuses on structure, nomenclature and reactions of aliphatic hydrocarbons, including aspects of stereochemistry and spectroscopic identification of these compounds. The second semester delves into the chemistry of functional groups, especially those that play a role in the reactivity biomolecules such as carbohydrates, lipids, proteins and nucleic acids. Prerequisite: Chemistry 126. Offered Fall Semester.","22","","Anthony T. Watson;Wesley Pearson","S","200","999","Organic Chemistry","","247","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","Chemistry 126. Offered Fall Semester.","","4","O","20064","","Research","2006"
"0000059061","0.25","0000000199","CHEM","These courses introduce students to the synthesis and characterization of organic, organometallic and inorganic compounds. Students purify the materials they produce by techniques such as chromatography and characterize them using infrared, nuclear magnetic resonance and mass spectroscopic methods. Students attend one 3-hour laboratory each week. Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Fall Semester.","20","","Anthony T. Watson","S","200","999","Synthesis Lab","","253","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Fall Semester.","A","4","O","20064","Synthesis Laboratory","Lab","2006"
"0000059067","0.25","0000000199","CHEM","These courses introduce students to the synthesis and characterization of organic, organometallic and inorganic compounds. Students purify the materials they produce by techniques such as chromatography and characterize them using infrared, nuclear magnetic resonance and mass spectroscopic methods. Students attend one 3-hour laboratory each week. Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Fall Semester.","0","","Staff","S","200","999","Synthesis Lab","","253","{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247 for 253, and 248 for 254. P/N only. Offered Fall Semester.","B","4","C","20064","Synthesis Laboratory","Lab","2006"
"0000059119","1.0","0000001072","PHYS","This two-semester in-depth course addresses topics in classical and modern physics using algebra, geometry and some calculus. The course is well-suited for students of biology or chemistry or for those desiring a thorough introduction beyond the high-school level. Physics 124 takes up the Newtonian mechanics of point particles (motion, mass, force, torque, energy, momentum, and gravitation), Einstein's reexamination of space time (relativity), and nuclear physics. One laboratory per week. Prerequisite: Mathematics 120 or 122.","15","0000001072","David A. Dahl","S","100","999","Principles Physics I","","124","{'day': 'Mo', 'end': '09:30', 'location': 'SC 170', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 170', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 170', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 170', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 170', 'start': '08:00'}","False","Mathematics 120 or 122.","","4","O","20064","Principles of Physics I","Research","2006"
"0000059120","0.0","0000001073","PHYS","","15","0000001072","David A. Dahl","S","100","999","Principles Physics I Lab","","124","{'day': 'Mo', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'};{'day': 'We', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'}","False","False","","4","O","20064","","Lab","2006"
"0000059153","1.0","0000000504","GERM","Students begin to learn German through listening, speaking, reading, and writing about topics familiar to them (their personal biographies, family, daily life, interests). Regular language lab activities and the occasional singing of German songs aid in acquiring good pronunciation and listening skills.","2","","Renata Debska-McWilliams","S","100","999","Beginning German I","Class Periods to be arranged. First class meets June 4 at 12:30 p.m. in RML WLC","111","","False","False","","4","O","20064","","Research","2006"
"0000059154","1.0","0000000505","GERM","Students continue to develop oral language skills through in-class and language lab activities with both audio and video tapes. Regular written assignments aid in the expansion of vocabulary and in the practical application of grammatical concepts. Communicating in German about familiar personal topics, students acquire vocabulary about sports, food, holidays, school, the environment, life in German cities, Austrian and Swiss culture, and German reunification. Prerequisite: German 111 or placement by test.","0","","Renata Debska-McWilliams","S","100","999","Beginning German II","Class periods to be arranged. First class meets June 4 at 12:30 in RML WLC.","112","","False","German 111 or placement by test.","","4","O","20064","","Research","2006"
"0000059155","1.0","0000000508","GERM","Students explore life in the German-speaking countries through reading and discussion of narrative texts. The course emphasizes vocabulary building, a thorough review of German grammar, and the composition of short narratives to develop writing skills. Taught in German with some grammar explanations in English. Prerequisite: German 112 or placement by test.","0","","Renata Debska-McWilliams","S","200","999","Intermed German I","Class periods to be arranged. First class meets June 4 at 2:30 p.m. in RML WLC.","231","","False","German 112 or placement by test.","","4","O","20064","Intermediate German I","Research","2006"
"0000059156","1.0","0000000509","GERM","Students continue to explore life in German-speaking countries, supported by cultural readings, films and other authentic materials that help students develop vocabulary and inspire them to advance their writing and speaking skills. Taught in German, the course includes a review of selected grammar topics. Prerequisite: German 231 or placement by test.","2","","Renata Debska-McWilliams","S","200","999","Intermed German II","Class periods to be arranged. First class meets June 4 at 2:30 p.m. in RML WLC.","232","","False","German 231 or placement by test.","","4","O","20064","Intermediate German II","Research","2006"
"0000059210","1.0","0000000126","BIO","Students journey toward greater understanding of one of the most wondrous objects in existence - the human body - through an integrated study of the structure of the body (anatomy) and how organs such as the brain, heart and kidney perform their remarkable functions (physiology). The course is designed primarily for students intending careers in the health sciences. Students attend lectures plus one 3-hour laboratory per week. Taught twice a year. Prerequisite: Biology 125.","25","0000000126","Louis Henry Kermott","S","200","24","Human Anatomy & Physiol","","243","{'day': 'Mo', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 278', 'start': '10:00'}","False","Biology 125.","","4","C","20064","Human Anatomy and Physiology","Research","2006"
"0000059211","0.0","0000000127","BIO","","25","0000000126","Louis Henry Kermott","S","200","24","Human Anatomy & Physiol L","","243","{'day': 'Tu', 'end': '16:00', 'location': 'SC 253', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'SC 253', 'start': '13:00'}","False","False","","4","C","20064","","Lab","2006"
"0000059303","1.0","0000000792","MEDIA","This introductory-level course is part of a two-course sequence that encourages students to assess and shape their personal relationship to mass media. Its premise is that we are all, to some extent, uninformed and uncritical consumers of media projects and services rather than conscientious and socially minded users of them. In this spirit, the course provides a comprehensive historical overview of the various print and electronic media that have shaped, and continue to shape, our lives. By examining the issues that have influenced the development of the mass media, the course considers ideological, cultural, aesthetic and ethical perspectives.","6","","Bill Sonnega","S","100","999","Mass Media","","160","{'day': 'Mo', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'TB 216', 'start': '08:00'}","False","False","","4","O","20064","","Research","2006"
"0000059395","1.0","0000000316","EDUC","This methods course introduces pre-service teachers to theory, practice, and methods associated with developing reading/language art skills in elementary pupils. It includes an emphasis on teaching to pupils of diverse socio-economic backgrounds and cultures. This course continues the study of Education 322: Teaching of Reading K-6 and Education 321: Teaching of Reading 5-12.","18","","Daniel R. Forstner","S","300","999","Reading Comm Literacy","This class will meet in Modular Classroom 2 on June 4-8th, 9-4:00.","315","","False","False","","4","O","20064","Reading, Communication, and Literacy Methods","Research","2006"
