"clbid","credits","crsid","department","description","enrolled","groupid","grouptype","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000069699","1.0","0000017676","EDUC","This course provides students with theoretical and practical knowledge about assessing the language proficiency of English Language Learners. Students learn how to construct and administer appropriate and non-discriminatory assessment and evaluation tools. Students administer several assessments and write a formal report. Required field experience component. Prerequisites: Education 246 and Education 330. Offered Summer Session only.","4","","","Heather Campbell","S","300","999","Assessment of ESL K-12","348","","False","Prerequisites: Education 246 and Education 330. Offered Summer Session only.","","4","O","20084","","Research","2008"
"0000069717","0.5","0000001012","ESAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","9","","","Judy Tegtmeyer","S","100","999","Individual Fitness.50","133","{'day': 'Mo', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Tu', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'We', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Th', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'};{'day': 'Fr', 'end': '17:30', 'location': 'SAC 112', 'start': '16:00'}","False","False","","4","O","20084","Individual Fitness","Research","2008"
"0000069719","0.25","0000000997","ESAC","This course presents an introduction/review of beginning golf skills, rules, and strategies. The course is not intended for the experienced golfer. Equipment available. Lab fee.","4","","","Luke Benoit","S","100","999","Golf","103","","False","False","","4","O","20084","","Research","2008"
"0000069927","1.0","0000000384","ENGL","This course introduces students to poetry from a range of perspectives including, but not limited to: the poet's life; the application of categories of analysis such as race, gender, and nationality; poetry as literary craft; and the aesthetic appreciation of poems. To experience the literary medium of poetry in the fullest sense, students are required to write about, memorize, orally interpret/recite, and compose their own poetry.","5","","","Stephen Longfellow","S","100","999","Intro to Poetry","123","{'day': 'Mo', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TB 227', 'start': '10:00'}","False","False","","4","O","20084","Introduction to Poetry","Research","2008"
"0000069928","1.0","0000000418","ENGL","This course provides students with the opportunity to gather insights and develop skills in the writing of creative prose and poetry. Literary selections are often used as models and discussions of craft set the stage for the workshopping of student writing. Prerequisite: FYW or equivalent.","6","","","Stephen Longfellow","S","200","999","Creat Wrtg: Fict/Poet","257","{'day': 'Mo', 'end': '14:00', 'location': 'TB 227', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TB 227', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TB 227', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TB 227', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TB 227', 'start': '12:30'}","False","FYW or equivalent.","","4","O","20084","Creative Writing: Fiction and Poetry","Research","2008"
"0000069934","1.0","0000001154","PSYCH","This course examines the basic principles and methods of psychological science from an evolutionary and cultural perspective. Students use critical thinking skills to examine fascinating topics: dreaming, cultural influences, identity, learning, thinking, and the biology of behavior. Applying basic research methods, students act as skeptical scientists. This course applies to almost any career choice in today's world and provides insight into self and others. Offered each semester.","3","","","M. Minda Oriña","S","100","999","Principles: Psych","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 316', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 316', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 316', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 316', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 316', 'start': '10:00'}","False","False","","4","O","20084","Principles of Psychology","Research","2008"
"0000069972","1.0","0000000126","BIO","Students journey toward greater understanding of the human body through an integrated study of the structure of the body (anatomy) and how organs such as the brain, heart, and kidney perform their remarkable functions (physiology). The course is designed primarily for students intending careers in the health sciences. Students attend lectures plus one 3-hour laboratory per week. Prerequisite: Biology 125, or Chemistry/Biology 125-127. Offered annually.","15","0000000126","","Louis Henry Kermott","S","200","999","Human Anatomy & Physiol","243","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'}","False","Biology 125, or Chemistry/Biology 125-127. Offered annually.","","4","O","20084","Human Anatomy and Physiology","Research","2008"
"0000069973","0.0","0000000127","BIO","","15","0000000126","","Louis Henry Kermott","S","200","999","Human Anatomy & Physiol L","243","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 254', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 254', 'start': '13:00'}","False","False","","4","O","20084","","Lab","2008"
"0000069977","1.0","0000001072","PHYS","This two-semester in-depth course addresses topics in classical and modern physics using algebra, geometry and some calculus. The course is well-suited for students of biology or chemistry or for those desiring a thorough introduction beyond the high-school level. Physics 124 takes up the Newtonian mechanics of point particles (motion, mass, force, torque, energy, momentum, and gravitation), Einstein's reexamination of space time (relativity), and nuclear physics. One laboratory per week. Prerequisite: Mathematics 120 or 121.","7","0000001072","","David Nitz","S","100","999","Principles Physics I","124","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 208', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 208', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 208', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 208', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 208', 'start': '10:00'}","False","Mathematics 120 or 121.","","4","O","20084","Principles of Physics I","Research","2008"
"0000069978","0.0","0000001073","PHYS","","7","0000001072","","David Nitz","S","100","999","Principles Physics I Lab","124","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 292', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 292', 'start': '13:00'}","False","False","","4","O","20084","","Lab","2008"
"0000070041","1.0","0000001496","ART","This course introduces students to the ceramic processes of wheel throwing and hand building as means for creating works of art. Students learn terminology and critical approaches to ceramics. Students develop critical skills and the ability to analyze and interpret ceramic art work. Class emphasizes creative approaches to solving visual problems through ceramic work. Slide presentations on contemporary and historical ceramics provide background for assignments and highlight the role of ceramics in various cultural contexts. Materials fee. Offered each semester. Credit will not be given for both Art 121 and Art 207.","8","","","Kathryne Fisher","S","200","999","Ceramics","207","{'day': 'Mo', 'end': '16:00', 'location': 'CAD 115', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'CAD 115', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'CAD 115', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'CAD 115', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'CAD 115', 'start': '14:30'}","False","False","","4","O","20084","","Research","2008"
"0000070046","1.0","0000000728","MATH","Students learn principles of mathematical thinking by investigating one or more mathematical topics. Recent topics have included dynamic geometry, mathematics of games, and cryptology. Students investigate ideas through technical and non-technical reading and problem solving, introducing them to mathematical literature and exposition. The course is intended for all students. Offered both semesters.","5","","","Peder Bolstad","S","100","999","Gateways/Mathematics","117","{'day': 'Mo', 'end': '09:30', 'location': 'RNS 204', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RNS 204', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RNS 204', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RNS 204', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RNS 204', 'start': '08:00'}","False","False","","4","O","20084","Gateways to Mathematics","Research","2008"
"0000070103","1.0","0000001214","REL","This course focuses on autobiographical texts in which the writer describes his or her life in relationship to God. The course is based on the central Christian theological belief that God is known in historical experience. We study the different ways in which Christians have sought to understand Gods role in their lives by correlating their own experiences with the classic beliefs, symbols and values of the Christian faith. Prerequisite: BTS-B.","8","","","Edmund Santurri","S","200","999","God and Faith/Autobio","233","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","BTS-B.","","4","O","20084","God and Faith in Autobiography","Research","2008"
"0000070168","1.0","0000000738","MATH","This course extends important ideas of single-variable calculus (derivatives, integrals, graphs, approximation, optimization, fundamental theorems, etc.) to higher-dimensional settings. These extensions make calculus tools far more powerful in modeling the (multi-dimensional) real world. Topics include partial derivatives, multiple integrals, transformations, Jacobians, line and surface integrals, and the fundamental theorems of Green, Stokes, and Gauss. Prerequisites: Mathematics 126 or 128, and 220. Offered both semesters.","8","","","Tina Garrett","S","200","999","Multivariable Calc","226","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 204', 'start': '10:00'}","False","Prerequisites: Mathematics 126 or 128, and 220. Offered both semesters.","","4","O","20084","Multivariable Calculus","Research","2008"
"0000070224","1.0","0000020161","MEDIA","This introductory survey course builds students' visual literacy skills (how to read a film). For each region explored cinematically -- Europe, Asia, the Middle East, Africa -- students study a classic film text (for a survey of twentieth-century film history), as well as a contemporary film. Both classic and contemporary films will explore the ways films negotiate the values of their respective societies, contributing to national history and identity; and reflect the modern phenomenon of globalization, via the trans-national language of cinema.","7","","R","Jon Eric Nelson","S","200","999","World Cinema","240","{'day': 'Mo', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'}","False","False","","4","O","20084","","Research","2008"
"0000070280","1.0","0000000106","BIO","This foundation course explores major principles of cellular and molecular biology and is a prerequisite for all Level II biology courses. Emphases include the structural and chemical composition of cells, crucial metabolic pathways, fundamentals of cell division, basic genetics, and the scientific method. Materials integrate concepts with problem-solving. Students are introduced to state-of-the-art library search technologies and scientific writing. Students attend lectures plus one 2.5-hour laboratory per week. Offered Fall Semester and during Interim.","6","0000000106","","Sara E. Fruehling","S","100","999","Cell Bio & Genetics","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","False","","4","O","20084","Cellular Biology and Genetics","Research","2008"
"0000070281","0.0","0000000107","BIO","","6","0000000106","","Sara E. Fruehling","S","100","999","Cell Bio & Genetics Lab","125","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 255', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 255', 'start': '13:00'}","False","False","","4","O","20084","","Lab","2008"
"0000070410","0.5","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application.","1","","","Charles Jr. Umbanhowar","S","200","999","Academic Internship","294","","True","False","","4","O","20084","Internship","Research","2008"
"0000070518","1.0","0000000175","BIO","Independent Research is offered for students dedicated to an in-depth research experience. In conjunction with a faculty supervisor, a student conceives and performs a research project leading to the writng of a major research paper and a poster presentation. Independent research requires permission of a supervisor, a secondary faculty reader of the paper, and completion of an independent research form available at the Registrar's Office or its website.","1","","","Steven Freedberg","S","300","999","IR/Molecular Ecology","398","","False","False","","4","O","20084","Independent Research","Research","2008"
"0000070613","1.0","0000000094","ASIAN","","1","","","Barbara Reed","S","200","999","IS/Buddhism and Death","298","","False","False","","4","O","20084","Independent Study","Research","2008"
"0000070752","1.0","0000000223","CHEM","","1","","","Douglas J. Beussman","S","300","999","IR/CE Forensic Method Dev","398","","False","False","","4","O","20084","Independent Research","Research","2008"

