"clbid","credits","crsid","department","description","enrolled","groupid","grouptype","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000091752","1.0","0000001127","PSCI","Often controversial, U.S.-Latin American relations occupy a special place in the foreign policy of the United States. Students compare differing views of political issues of importance to both regions and explore the emergence of U.S. power, interventionism, cooperation, revolution, collective security, the transition to democracy, and the influence of economic factors on the relationship between Latin America and the U.S. Counts toward Hispanic studies major and Latin American/Latino studies concentration.","3","","","Kris Thalhammer","S","200","999","US/Latin Am Relations","","257","{'day': 'Mo', 'end': '11:30', 'location': 'HH 319', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'HH 319', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'HH 319', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'HH 319', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'HH 319', 'start': '10:00'}","False","False","","5","O","20125","U.S. - Latin American Relations","Research","2012"
"0000091952","0.25","0000000624","HIST","","3","","","Timothy R. Howe","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092014","1.0","0000024281","ID","This course prepares McNair Scholars for the rigors of academic writing. Because the enrolled students represent a variety of disciplines, this course serves as a general introduction to writing in research; it is not meant to replace discipline-specific research methods or writing courses. Students read scholarly literature in their disciplines, write a literature review, draft various sections of a research paper, and prepare for a formal poster presentation. Offered every summer.","9","","R","Heather Campbell","S","200","999","McNair Research Writing","","237","","False","False","","5","C","20125","McNair Research Writing Across the Disciplines","Research","2012"
"0000092037","0.25","0000000707","ID","","1","","","Rebecca S. Richards","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","","Research","2012"
"0000092067","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","Michael Swift","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092097","1.0","0000000795","MEDIA","","1","","","John A. Bazzachini","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092111","1.0","0000001179","PSYCH","This opportunity to investigate in depth a topic of interest, typically culminating in a library research-based paper, is strongly recommended as preparation for Psychology 398. Prerequisite: Psychology 125, at least three courses in the department, and permission of instructor. Psychology 230 is strongly recommended. Offered each semester.","0","","","Staff","S","200","999","IS/","","298","","False","Psychology 125, at least three courses in the department, and permission of instructor. Psychology 230 is strongly recommended. Offered each semester.","","5","C","20125","Independent Study","Research","2012"
"0000092115","1.0","0000024395","FILM","","1","","R","Diana Postlethwaite","S","300","999","Academic Internship","","394","","True","False","","5","O","20125","","Research","2012"
"0000092120","0.25","0000000795","MEDIA","","1","","","Robert W. McClure","S","200","999","Academic Internship","","294","","True","False","A","5","O","20125","Internship","Research","2012"
"0000092121","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","Jean C. Porterfield","S","200","999","Academic Internship","","294","","True","False","A","5","O","20125","Internship","Research","2012"
"0000092124","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","John Giannini","S","200","999","Academic Internship","","294","","True","False","B","5","O","20125","Internship","Research","2012"
"0000092128","0.25","0000000784","MGMT","","1","","","Richard Goedde","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092129","0.25","0000000784","MGMT","","1","","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","A","5","O","20125","Internship","Research","2012"
"0000092130","0.25","0000000707","ID","","7","","","Ryan R. Sheppard","S","200","999","Academic Internship","","294","","True","False","A","5","O","20125","","Research","2012"
"0000092134","0.25","0000000961","NURS","Does not count toward the major.","1","","","Mary Beth Kuehn","S","300","999","Academic Internship","","394","","True","False","","5","O","20125","Internship","Research","2012"
"0000092135","1.0","0000000784","MGMT","","1","","","Anthony Becker","S","200","999","Academic Internship","","294","","True","False","B","5","O","20125","Internship","Research","2012"
"0000092136","0.25","0000000707","ID","","1","","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","B","5","O","20125","","Research","2012"
"0000092137","0.25","0000001315","SOAN","","1","","","Ibtesam Al Atiyat","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092146","0.25","0000000306","CSCI","Students gain experience in computer-industry positions. Projects have included contributions to team programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","1","","","Richard Brown","S","300","999","Academic Internship","","394","","True","False","","5","O","20125","Internship","Research","2012"
"0000092147","1.0","0000001057","ESTH","","1","","","William Sean Goldsworthy","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092148","0.25","0000000795","MEDIA","","5","","","Bill Sonnega","S","200","999","Academic Internship","","294","","True","False","B","5","O","20125","Internship","Research","2012"
"0000092149","1.0","0000000784","MGMT","","1","","","Richard Goedde","S","200","999","Academic Internship","","294","","True","False","C","5","O","20125","Internship","Research","2012"
"0000092150","1.0","0000001067","ESTH","","1","","","William Sean Goldsworthy","S","300","999","Academic Internship","","394","","True","False","","5","O","20125","Internship","Research","2012"
"0000092153","0.5","0000000313","EDUC","","1","","","Robert W. McClure","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","","Research","2012"
"0000092154","0.25","0000000707","ID","","4","","","Jeanne I. Willcoxon","S","200","999","Academic Internship","","294","","True","False","C","5","O","20125","","Research","2012"
"0000092156","0.25","0000000795","MEDIA","","1","","","Jan C. Hill","S","200","999","Academic Internship","","294","","True","False","C","5","O","20125","Internship","Research","2012"
"0000092157","0.25","0000000795","MEDIA","","1","","","Justin W. Merritt","S","200","999","Academic Internship","","294","","True","False","D","5","O","20125","Internship","Research","2012"
"0000092159","0.25","0000000707","ID","","3","","","Katherine S. Tegtmeyer Pak","S","200","999","Academic Internship","","294","","True","False","D","5","O","20125","","Research","2012"
"0000092161","0.25","0000000846","MUSIC","","1","","","Karen Wilkerson","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092166","0.25","0000000788","MGMT","","1","","","Richard Goedde","S","300","999","Academic Internship","","394","","True","False","","5","O","20125","Internship","Research","2012"
"0000092168","1.0","0000000375","DANCE","","1","","","Anthony Roberts","S","200","999","IS/Video Dance Animation","","298","","False","False","","5","O","20125","Independent Study","Research","2012"
"0000092169","0.25","0000000707","ID","","1","","","Paul Wojick","S","200","999","Academic Internship","","294","","True","False","E","5","O","20125","","Research","2012"
"0000092179","1.0","0000000154","BIO","Independent study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor, and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its Web site.","1","","","Jean C. Porterfield","S","200","999","IS/Climate Change Reefs","","298","","False","False","","5","O","20125","Independent Study","Research","2012"
"0000092185","0.25","0000000276","ECON","","1","","","Richard M. Hirsch","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","","Research","2012"
"0000092191","0.25","0000001315","SOAN","","1","","","Ibtesam Al Atiyat","S","200","999","Academic Internship","","294","","True","False","A","5","O","20125","Internship","Research","2012"
"0000092192","0.25","0000000707","ID","","3","","","Katherine S. Tegtmeyer Pak","S","200","999","Academic Internship","","294","","True","False","F","5","O","20125","","Research","2012"
"0000092193","0.25","0000000784","MGMT","","1","","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","D","5","O","20125","Internship","Research","2012"
"0000092194","0.25","0000000707","ID","","1","","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","G","5","O","20125","","Research","2012"
"0000092241","0.25","0000001366","SWRK","","1","","","Mary Carlsen","S","200","999","Academic Internship","","294","","True","False","","5","O","20125","Internship","Research","2012"
"0000092246","0.5","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","Anne Walter","S","200","999","Academic Internship","","294","","True","False","C","5","O","20125","Internship","Research","2012"
"0000092394","1.0","0000000738","MATH","This course extends important ideas of single-variable calculus (derivatives, integrals, graphs, approximation, optimization, fundamental theorems, etc.) to higher-dimensional settings. These extensions make calculus tools far more powerful in modeling the (multi-dimensional) real world. Topics include partial derivatives, multiple integrals, transformations, Jacobians, line and surface integrals, and the fundamental theorems of Green, Stokes, and Gauss. Prerequisites: Mathematics 126 or 128, and 220. Offered each semester.","1","","","Bruce Hanson","S","200","1","Multivariable Calc","","226","","False","Prerequisites: Mathematics 126 or 128, and 220. Offered each semester.","","5","C","20125","Multivariable Calculus","Research","2012"
"0000092395","1.0","0000027057","ID","This interdisciplinary, topics-based course explores contemporary issues in science with emphasis on developing students' understanding of scientific and quantitiative approaches to problem solving. Specific topics, ranging from environmental chemistry and public health to biomechanics and genetics, vary from year to year. Students attend nine hours of lectures or small group discussion sections, two to three hours of quantitative workshops, and four hours of laboratory per week. Does not count toward any major. The course is taught with WRI 109. Prerequisite: acceptance into the Summer Bridge Program. Offered annually during the summer.","37","","R","Lisa M. Bowers;Michael Swift;Anne Walter","S","100","999","Explorations in Science","","150","","False","acceptance into the Summer Bridge Program. Offered annually during the summer.","","5","O","20125","","Research","2012"
"0000092396","0.25","0000023391","WRIT","This course provides supplemental instruction in reading, writing, and critical thinking in conjunction with a designated course. Students practice reading course-specific texts, focusing writing topics, writing essay and short answer exams, developing research habits, indentifying and using discipline-specific sources, and writing for general and specific audiences. Supplemental assignments complement writing in the designated course. Prerequisite: concurrent enrollment in a designated full-credit course. May be repeated once with a different designated course.","37","","R","Maria L. Kelly","S","100","999","Top: Supplemental Writing","","109","","True","concurrent enrollment in a designated full-credit course. May be repeated once with a different designated course.","","5","O","20125","Topics: Supplemental Writing","Topic","2012"
"0000092521","1.0","0000000784","MGMT","","1","","","Kurt Anderson","S","200","999","Academic Internship","","294","","True","False","E","5","O","20125","Internship","Research","2012"
"0000093702","1.0","0000019402","LATIN","","0","","","Nanette Schroeder","S","100","999","Introduction to Latin","","101","","False","False","","5","O","20125","","Research","2012"

